Item,Lowest Price,Collection,Rarity,Wear
Dual Berettas | Ventilators,0,0,0,0
Sawed-Off | Apocalypto,0,6,1,0
SCAR-20 | Enforcer,0,6,1,0
SG 553 | Darkwing,0,6,1,0
SSG 08 | Fever Dream,0,6,1,0
AK-47 | Phantom Disruptor,0,6,2,0
MAC-10 | Disco Tech,0,6,2,0
MAG-7 | Justice,0,6,2,0
M4A1-S | Player Two,0,6,3,0
Glock-18 | Bullet Queen,0,6,3,0
MP7 | Urban Hazard,0,7,0,0
Negev | Desert-Strike,0,7,0,0
P2000 | Ivory,0,7,0,0
SSG 08 | Abyss,0,7,0,0
UMP-45 | Labyrinth,0,7,0,0
PP-Bizon | Osiris,0,7,1,0
CZ75-Auto | Tigris,0,7,1,0
Nova | Koi,0,7,1,0
P250 | Supernova,0,7,1,0
Desert Eagle | Conspiracy,0,7,2,0
Five-SeveN | Fowl Play,0,7,2,0
Glock-18 | Water Elemental,0,7,2,0
P90 | Asiimov,0,7,3,0
M4A1-S | Cyrex,0,7,3,0
MP9 | Modest Threat,0,8,0,0
Glock-18 | Oxide Blaze,0,8,0,0
Nova | Wood Fired,0,8,0,0
M4A4 | Magnesium,0,8,0,0
Sawed-Off | Black Sand,0,8,0,0
SG 553 | Danger Close,0,8,0,0
Tec-9 | Fubar,0,8,0,0
G3SG1 | Scavenger,0,8,1,0
Galil AR | Signal,0,8,1,0
MAC-10 | Pipe Down,0,8,1,0
P250 | Nevermore,0,8,1,0
USP-S | Flashback,0,8,1,0
UMP-45 | Momentum,0,8,2,0
Desert Eagle | Mecha Industries,0,8,2,0
MP5-SD | Phosphor,0,8,2,0
AK-47 | Asiimov,0,8,3,0
AWP | Neo-Noir,0,8,3,0
PP-Bizon | Night Riot,0,9,0,0
Five-SeveN | Flame Test,0,9,0,0
MP9 | Black Sand,0,9,0,0
P2000 | Urban Hazard,0,9,0,0
R8 Revolver | Grip,0,9,0,0
SG 553 | Aloha,0,9,0,0
XM1014 | Oxide Blaze,0,9,0,0
Glock-18 | Moonrise,0,9,1,0
Negev | Lionfish,0,9,1,0
Nova | Wild Six,0,9,1,0
MAG-7 | SWAG-7,0,9,1,0
UMP-45 | Arctic Wolf,0,9,1,0
AUG | Stymphalian,0,9,2,0
AWP | Mortis,0,9,2,0
USP-S | Cortex,0,9,2,0
M4A4 | Neo-Noir,0,9,3,0
MP7 | Bloodsport,0,9,3,0
CZ75-Auto | Polymer,0,10,0,0
Glock-18 | Ironwork,0,10,0,0
MP7 | Cirrus,0,10,0,0
Galil AR | Black Sand,0,10,0,0
MP9 | Sand Scale,0,10,0,0
MAG-7 | Sonar,0,10,0,0
P2000 | Turf,0,10,0,0
Dual Berettas | Royal Consorts,0,10,1,0
G3SG1 | Stinger,0,10,1,0
M4A1-S | Flashback,0,10,1,0
Nova | Gila,0,10,1,0
USP-S | Cyrex,0,10,1,0
FAMAS | Mecha Industries,0,10,2,0
P90 | Shallow Grave,0,10,2,0
Sawed-Off | Wasteland Princess,0,10,2,0
SSG 08 | Dragonfire,0,10,3,0
M4A4 | Buzz Kill,0,10,3,0
FAMAS | Crypsis,0,11,0,0
AK-47 | Uncharted,0,11,0,0
MAC-10 | Whitefish,0,11,0,0
Galil AR | Akoben,0,11,0,0
MP7 | Mischief,0,11,0,0
P250 | Verdigris,0,11,0,0
P90 | Off World,0,11,0,0
AWP | Atheris,0,11,1,0
Tec-9 | Bamboozle,0,11,1,0
Desert Eagle | Light Rail,0,11,1,0
MP5-SD | Gauss,0,11,1,0
UMP-45 | Moonrise,0,11,1,0
R8 Revolver | Skull Crusher,0,11,2,0
AUG | Momentum,0,11,2,0
XM1014 | Incinegator,0,11,2,0
Five-SeveN | Angry Mob,0,11,3,0
M4A4 | The Emperor,0,11,3,0
Sawed-Off | Morris,0,12,0,0
AUG | Triqua,0,12,0,0
G3SG1 | Hunter,0,12,0,0
Glock-18 | Off World,0,12,0,0
MAC-10 | Oceanic,0,12,0,0
Tec-9 | Cracked Opal,0,12,0,0
SCAR-20 | Jungle Slipstream,0,12,0,0
MP9 | Goo,0,12,1,0
SG 553 | Phantom,0,12,1,0
CZ75-Auto | Tacticat,0,12,1,0
UMP-45 | Exposure,0,12,1,0
XM1014 | Ziggy,0,12,1,0
PP-Bizon | High Roller,0,12,2,0
M4A1-S | Leaded Glass,0,12,2,0
R8 Revolver | Llama Cannon,0,12,2,0
AK-47 | The Empress,0,12,3,0
P250 | See Ya Later,0,12,3,0
PP-Bizon | Jungle Slipstream,0,13,0,0
SCAR-20 | Blueprint,0,13,0,0
Desert Eagle | Oxide Blaze,0,13,0,0
Five-SeveN | Capillary,0,13,0,0
MP7 | Akoben,0,13,0,0
P250 | Ripple,0,13,0,0
Sawed-Off | Zander,0,13,0,0
Galil AR | Crimson Tsunami,0,13,1,0
M249 | Emerald Poison Dart,0,13,1,0
MAC-10 | Last Dive,0,13,1,0
UMP-45 | Scaffold,0,13,1,0
XM1014 | Seasons,0,13,1,0
AWP | Fever Dream,0,13,2,0
CZ75-Auto | Xiangliu,0,13,2,0
M4A1-S | Decimator,0,13,2,0
AK-47 | Bloodsport,0,13,3,0
USP-S | Neo-Noir,0,13,3,0
CZ75-Auto | Imprint,0,14,0,0
Five-SeveN | Scumbria,0,14,0,0
G3SG1 | Ventilator,0,14,0,0
Negev | Dazzle,0,14,0,0
P90 | Grim,0,14,0,0
UMP-45 | Briefing,0,14,0,0
XM1014 | Slipstream,0,14,0,0
Desert Eagle | Directive,0,14,1,0
Glock-18 | Weasel,0,14,1,0
MAG-7 | Petroglyph,0,14,1,0
SCAR-20 | Powercore,0,14,1,0
SG 553 | Triarch,0,14,1,0
AUG | Syd Mead,0,14,2,0
MP9 | Airlock,0,14,2,0
Tec-9 | Fuel Injector,0,14,2,0
AK-47 | Neon Revolution,0,14,3,0
FAMAS | Roll Cage,0,14,3,0
AUG | Amber Slipstream,0,15,0,0
Dual Berettas | Shred,0,15,0,0
Glock-18 | Warhawk,0,15,0,0
MP9 | Capillary,0,15,0,0
P90 | Traction,0,15,0,0
R8 Revolver | Survivalist,0,15,0,0
Tec-9 | Snek-9,0,15,0,0
CZ75-Auto | Eco,0,15,1,0
G3SG1 | High Seas,0,15,1,0
Nova | Toy Soldier,0,15,1,0
AWP | PAW,0,15,1,0
MP7 | Powercore,0,15,1,0
M4A1-S | Nightmare,0,15,2,0
Sawed-Off | Devourer,0,15,2,0
FAMAS | Eye of Athena,0,15,2,0
AK-47 | Neon Rider,0,15,3,0
Desert Eagle | Code Red,0,15,3,0
AK-47 | Elite Build,0,16,0,0
MP7 | Armor Core,0,16,0,0
Desert Eagle | Bronze Deco,0,16,0,0
P250 | Valence,0,16,0,0
Negev | Man-o'-war,0,16,0,0
Sawed-Off | Origami,0,16,0,0
AWP | Worm God,0,16,1,0
MAG-7 | Heat,0,16,1,0
CZ75-Auto | Pole Position,0,16,1,0
UMP-45 | Grand Prix,0,16,1,0
Five-SeveN | Monkey Business,0,16,2,0
Galil AR | Eco,0,16,2,0
FAMAS | Djinn,0,16,2,0
M4A1-S | Hyper Beast,0,16,3,0
MAC-10 | Neon Rider,0,16,3,0
Five-SeveN | Violent Daimyo,0,17,0,0
MAC-10 | Carnivore,0,17,0,0
Nova | Exo,0,17,0,0
P250 | Iron Clad,0,17,0,0
PP-Bizon | Harvester,0,17,0,0
SG 553 | Aerial,0,17,0,0
Tec-9 | Ice Cap,0,17,0,0
AUG | Aristocrat,0,17,1,0
AWP | Phobos,0,17,1,0
P90 | Chopper,0,17,1,0
R8 Revolver | Reboot,0,17,1,0
Sawed-Off | Limelight,0,17,1,0
M4A4 | Desolate Space,0,17,2,0
P2000 | Imperial Dragon,0,17,2,0
SCAR-20 | Bloodsport,0,17,2,0
Glock-18 | Wasteland Rebel,0,17,3,0
M4A1-S | Mecha Industries,0,17,3,0
R8 Revolver | Crimson Web,0,18,0,0
AUG | Ricochet,0,18,0,0
Desert Eagle | Corinthian,0,18,0,0
P2000 | Imperial,0,18,0,0
Sawed-Off | Yorick,0,18,0,0
SCAR-20 | Outbreak,0,18,0,0
PP-Bizon | Fuel Rod,0,18,1,0
Five-SeveN | Retrobution,0,18,1,0
Negev | Power Loader,0,18,1,0
SG 553 | Tiger Moth,0,18,1,0
Tec-9 | Avalanche,0,18,1,0
XM1014 | Teclu Burner,0,18,1,0
AK-47 | Point Disarray,0,18,2,0
G3SG1 | The Executioner,0,18,2,0
P90 | Shapewood,0,18,2,0
M4A4 | Royal Paladin,0,18,3,0
R8 Revolver | Fade,0,18,3,0
Dual Berettas | Elite 1.6,0,19,0,0
Tec-9 | Flash Out,0,19,0,0
MAC-10 | Classic Crate,0,19,0,0
MAG-7 | Popdog,0,19,0,0
SCAR-20 | Assault,0,19,0,0
FAMAS | Decommissioned,0,19,0,0
Glock-18 | Sacrifice,0,19,0,0
M249 | Aztec,0,19,1,0
MP5-SD | Agent,0,19,1,0
Five-SeveN | Buddy,0,19,1,0
P250 | Inferno,0,19,1,0
UMP-45 | Plastique,0,19,1,0
MP9 | Hydra,0,19,2,0
P90 | Nostalgia,0,19,2,0
AUG | Death by Puppy,0,19,2,0
AWP | Wildfire,0,19,3,0
FAMAS | Commemoration,0,19,3,0
UMP-45 | Corporal,0,20,0,0
Negev | Terrain,0,20,0,0
Tec-9 | Sandstorm,0,20,0,0
MAG-7 | Heaven Guard,0,20,0,0
MAC-10 | Heat,0,20,1,0
SG 553 | Pulse,0,20,1,0
FAMAS | Sergeant,0,20,1,0
USP-S | Guardian,0,20,1,0
AK-47 | Redline,0,20,2,0
P90 | Trigon,0,20,2,0
Nova | Antique,0,20,2,0
AWP | Asiimov,0,20,3,0
AUG | Chameleon,0,20,3,0
PP-Bizon | Photic Zone,0,21,0,0
Dual Berettas | Cartel,0,21,0,0
MAC-10 | Lapis Gator,0,21,0,0
SSG 08 | Necropos,0,21,0,0
Tec-9 | Jambiya,0,21,0,0
USP-S | Lead Conduit,0,21,0,0
FAMAS | Valence,0,21,1,0
Five-SeveN | Triumvirate,0,21,1,0
Glock-18 | Royal Legion,0,21,1,0
MAG-7 | Praetorian,0,21,1,0
MP7 | Impire,0,21,1,0
AWP | Elite Build,0,21,2,0
Desert Eagle | Kumicho Dragon,0,21,2,0
Nova | Hyper Beast,0,21,2,0
AK-47 | Fuel Injector,0,21,3,0
M4A4 | The Battlestar,0,21,3,0
Dual Berettas | Dualing Dragons,0,22,0,0
FAMAS | Survivor Z,0,22,0,0
Glock-18 | Wraiths,0,22,0,0
MAC-10 | Rangeen,0,22,0,0
MAG-7 | Cobalt Core,0,22,0,0
SCAR-20 | Green Marine,0,22,0,0
XM1014 | Scumbria,0,22,0,0
Galil AR | Stone Cold,0,22,1,0
M249 | Nebula Crusader,0,22,1,0
MP7 | Special Delivery,0,22,1,0
P250 | Wingshot,0,22,1,0
AK-47 | Frontside Misty,0,22,2,0
G3SG1 | Flux,0,22,2,0
SSG 08 | Big Iron,0,22,2,0
M4A1-S | Golden Coil,0,22,3,0
USP-S | Kill Confirmed,0,22,3,0
CZ75-Auto | Vendetta,0,23,0,0
P90 | Cocoa Rampage,0,23,0,0
G3SG1 | Digital Mesh,0,23,0,0
Galil AR | Vandal,0,23,0,0
P250 | Contaminant,0,23,0,0
M249 | Deep Relief,0,23,0,0
MP5-SD | Condition Zero,0,23,0,0
AWP | Exoskeleton,0,23,1,0
Dual Berettas | Dezastre,0,23,1,0
Nova | Clear Polymer,0,23,1,0
SSG 08 | Parallax,0,23,1,0
UMP-45 | Gold Bismuth,0,23,1,0
Five-SeveN | Fairy Tale,0,23,2,0
M4A4 | Cyber Security,0,23,2,0
USP-S | Monster Mashup,0,23,2,0
M4A1-S | Printstream,0,23,3,0
Glock-18 | Neo-Noir,0,23,3,0
Galil AR | Rocket Pop,0,24,0,0
Glock-18 | Bunsen Burner,0,24,0,0
Nova | Ranger,0,24,0,0
P90 | Elite Build,0,24,0,0
UMP-45 | Riot,0,24,0,0
USP-S | Torque,0,24,0,0
FAMAS | Neural Net,0,24,1,0
M4A4 | Evil Daimyo,0,24,1,0
MP9 | Ruby Poison Dart,0,24,1,0
Negev | Loudmouth,0,24,1,0
P2000 | Handgun,0,24,1,0
CZ75-Auto | Yellow Jacket,0,24,2,0
MP7 | Nemesis,0,24,2,0
SG 553 | Cyrex,0,24,2,0
AK-47 | Aquamarine Revenge,0,24,3,0
AWP | Hyper Beast,0,24,3,0
Glock-18 | Catacombs,0,25,0,0
M249 | System Lock,0,25,0,0
MP9 | Deadly Poison,0,25,0,0
SCAR-20 | Grotto,0,25,0,0
XM1014 | Quicksilver,0,25,0,0
Dual Berettas | Urban Shock,0,25,1,0
Desert Eagle | Naga,0,25,1,0
MAC-10 | Malachite,0,25,1,0
Sawed-Off | Serenity,0,25,1,0
AK-47 | Cartel,0,25,2,0
M4A4 | 龍王 (Dragon King),0,25,2,0
P250 | Muertos,0,25,2,0
AWP | Man-o'-war,0,25,3,0
Galil AR | Chatterbox,0,25,3,0
AUG | Plague,0,26,0,0
Dual Berettas | Tread,0,26,0,0
G3SG1 | Keeping Tabs,0,26,0,0
MP7 | Guerrilla,0,26,0,0
PP-Bizon | Lumen,0,26,0,0
USP-S | Black Lotus,0,26,0,0
XM1014 | Watchdog,0,26,0,0
MAG-7 | BI83 Spectrum,0,26,1,0
FAMAS | ZX Spectron,0,26,1,0
Five-SeveN | Boost Protocol,0,26,1,0
MP9 | Mount Fuji,0,26,1,0
M4A4 | Spider Lily,0,26,1,0
MAC-10 | Toybox,0,26,2,0
Glock-18 | Snack Attack,0,26,2,0
SSG 08 | Turbo Peek,0,26,2,0
AK-47 | Leet Museo,0,26,3,0
Desert Eagle | Ocean Drive,0,26,3,0
SG 553 | Wave Spray,0,27,0,0
Dual Berettas | Black Limba,0,27,0,0
Nova | Tempest,0,27,0,0
Galil AR | Shattered,0,27,0,0
UMP-45 | Bone Pile,0,27,0,0
G3SG1 | Demeter,0,27,0,0
USP-S | Overgrowth,0,27,1,0
M4A4 | Zirka,0,27,1,0
MAC-10 | Graven,0,27,1,0
M4A1-S | Bright Water,0,27,1,0
P90 | Emerald Dragon,0,27,2,0
P2000 | Ocean Foam,0,27,2,0
AWP | Graphite,0,27,2,0
AK-47 | Fire Serpent,0,27,3,0
Desert Eagle | Golden Koi,0,27,3,0
USP-S | Blueprint,0,28,0,0
FAMAS | Macabre,0,28,0,0
M4A1-S | Briefing,0,28,0,0
MAC-10 | Aloha,0,28,0,0
MAG-7 | Hard Water,0,28,0,0
Tec-9 | Cut Out,0,28,0,0
UMP-45 | Metal Flowers,0,28,0,0
AK-47 | Orbit Mk01,0,28,1,0
P2000 | Woodsman,0,28,1,0
P250 | Red Rock,0,28,1,0
P90 | Death Grip,0,28,1,0
SSG 08 | Death's Head,0,28,1,0
Dual Berettas | Cobra Strike,0,28,2,0
Galil AR | Sugar Rush,0,28,2,0
M4A4 | Hellfire,0,28,2,0
Five-SeveN | Hyper Beast,0,28,3,0
AWP | Oni Taiji,0,28,3,0
CZ75-Auto | Crimson Web,0,29,0,0
P2000 | Red FragCam,0,29,0,0
Dual Berettas | Panther,0,29,0,0
USP-S | Stainless,0,29,0,0
Glock-18 | Blue Fissure,0,29,0,0
CZ75-Auto | Tread Plate,0,29,1,0
Tec-9 | Titanium Bit,0,29,1,0
Desert Eagle | Heirloom,0,29,1,0
Five-SeveN | Copper Galaxy,0,29,1,0
CZ75-Auto | The Fuschia Is Now,0,29,2,0
P250 | Undertow,0,29,2,0
CZ75-Auto | Victoria,0,29,3,0
Galil AR | Blue Titanium,0,30,0,0
Five-SeveN | Nightshade,0,30,0,0
PP-Bizon | Water Sigil,0,30,0,0
Nova | Ghost Camo,0,30,0,0
G3SG1 | Azure Zebra,0,30,0,0
P250 | Steel Disruption,0,30,0,0
AK-47 | Blue Laminate,0,30,1,0
P90 | Blind Spot,0,30,1,0
FAMAS | Afterimage,0,30,2,0
AWP | Electric Hive,0,30,2,0
Desert Eagle | Cobalt Disruption,0,30,2,0
M4A4 | X-Ray,0,30,3,0
MP5-SD | Acid Wash,0,31,0,0
Nova | Plume,0,31,0,0
G3SG1 | Black Sand,0,31,0,0
R8 Revolver | Memento,0,31,0,0
Dual Berettas | Balance,0,31,0,0
SCAR-20 | Torn,0,31,0,0
M249 | Warbird,0,31,0,0
PP-Bizon | Embargo,0,31,1,0
AK-47 | Rat Rod,0,31,1,0
AUG | Arctic Wolf,0,31,1,0
MP7 | Neon Ply,0,31,1,0
P2000 | Obsidian,0,31,1,0
Tec-9 | Decimator,0,31,2,0
SG 553 | Colony IV,0,31,2,0
SSG 08 | Bloodshot,0,31,2,0
AWP | Containment Breach,0,31,3,0
MAC-10 | Stalker,0,31,3,0
Tec-9 | Isaac,0,32,0,0
SSG 08 | Slashed,0,32,0,0
Galil AR | Kami,0,32,0,0
CZ75-Auto | Twist,0,32,0,0
P90 | Module,0,32,0,0
P2000 | Pulse,0,32,0,0
AUG | Torque,0,32,1,0
PP-Bizon | Antique,0,32,1,0
XM1014 | Heaven Guard,0,32,1,0
MAC-10 | Tatter,0,32,1,0
M4A1-S | Atomic Alloy,0,32,2,0
SCAR-20 | Cyrex,0,32,2,0
USP-S | Caiman,0,32,2,0
AK-47 | Vulcan,0,32,3,0
M4A4 | Desert-Strike,0,32,3,0
G3SG1 | Murky,0,33,0,0
MAG-7 | Firestarter,0,33,0,0
MP9 | Dart,0,33,0,0
Five-SeveN | Urban Hazard,0,33,0,0
UMP-45 | Delusion,0,33,0,0
Glock-18 | Grinder,0,33,1,0
M4A1-S | Basilisk,0,33,1,0
M4A4 | Griffin,0,33,1,0
Sawed-Off | Highwayman,0,33,1,0
P250 | Cartel,0,33,2,0
SCAR-20 | Cardiac,0,33,2,0
XM1014 | Tranquility,0,33,2,0
AK-47 | Wasteland Rebel,0,33,3,0
P2000 | Fire Elemental,0,33,3,0
Galil AR | Sandstorm,0,34,0,0
Five-SeveN | Kami,0,34,0,0
M249 | Magma,0,34,0,0
PP-Bizon | Cobalt Halftone,0,34,0,0
FAMAS | Pulse,0,34,1,0
Dual Berettas | Marina,0,34,1,0
MP9 | Rose Iron,0,34,1,0
Nova | Rising Skull,0,34,1,0
M4A1-S | Guardian,0,34,2,0
P250 | Mehndi,0,34,2,0
AWP | Redline,0,34,2,0
M4A4 | Asiimov,0,34,3,0
Sawed-Off | The Kraken,0,34,3,0
