Item,Lowest Price,Collection,Rarity,Wear
Dual Berettas | Ventilators (Minimal Wear),0,0,0,3
MP7 | Mischief (Minimal Wear),0,11,0,3
P250 | Verdigris (Minimal Wear),0,11,0,3
P90 | Off World (Minimal Wear),0,11,0,3
AWP | Atheris (Minimal Wear),0,11,1,3
Tec-9 | Bamboozle (Minimal Wear),0,11,1,3
Desert Eagle | Light Rail (Minimal Wear),0,11,1,3
MP5-SD | Gauss (Minimal Wear),0,11,1,3
UMP-45 | Moonrise (Minimal Wear),0,11,1,3
R8 Revolver | Skull Crusher (Minimal Wear),0,11,2,3
AUG | Momentum (Minimal Wear),0,11,2,3
XM1014 | Incinegator (Minimal Wear),0,11,2,3
Five-SeveN | Angry Mob (Minimal Wear),0,11,3,3
M4A4 | The Emperor (Minimal Wear),0,11,3,3
Sawed-Off | Morris (Minimal Wear),0,12,0,3
AUG | Triqua (Minimal Wear),0,12,0,3
G3SG1 | Hunter (Minimal Wear),0,12,0,3
Glock-18 | Off World (Minimal Wear),0,12,0,3
MAC-10 | Oceanic (Minimal Wear),0,12,0,3
Tec-9 | Cracked Opal (Minimal Wear),0,12,0,3
SCAR-20 | Jungle Slipstream (Minimal Wear),0,12,0,3
MP9 | Goo (Minimal Wear),0,12,1,3
SG 553 | Phantom (Minimal Wear),0,12,1,3
CZ75-Auto | Tacticat (Minimal Wear),0,12,1,3
UMP-45 | Exposure (Minimal Wear),0,12,1,3
XM1014 | Ziggy (Minimal Wear),0,12,1,3
PP-Bizon | High Roller (Minimal Wear),0,12,2,3
M4A1-S | Leaded Glass (Minimal Wear),0,12,2,3
R8 Revolver | Llama Cannon (Minimal Wear),0,12,2,3
AK-47 | The Empress (Minimal Wear),0,12,3,3
P250 | See Ya Later (Minimal Wear),0,12,3,3
PP-Bizon | Jungle Slipstream (Minimal Wear),0,13,0,3
SCAR-20 | Blueprint (Minimal Wear),0,13,0,3
Desert Eagle | Oxide Blaze (Minimal Wear),0,13,0,3
Five-SeveN | Capillary (Minimal Wear),0,13,0,3
MP7 | Akoben (Minimal Wear),0,13,0,3
P250 | Ripple (Minimal Wear),0,13,0,3
Sawed-Off | Zander (Minimal Wear),0,13,0,3
Galil AR | Crimson Tsunami (Minimal Wear),0,13,1,3
M249 | Emerald Poison Dart (Minimal Wear),0,13,1,3
MAC-10 | Last Dive (Minimal Wear),0,13,1,3
UMP-45 | Scaffold (Minimal Wear),0,13,1,3
XM1014 | Seasons (Minimal Wear),0,13,1,3
AWP | Fever Dream (Minimal Wear),0,13,2,3
CZ75-Auto | Xiangliu (Minimal Wear),0,13,2,3
M4A1-S | Decimator (Minimal Wear),0,13,2,3
AK-47 | Bloodsport (Minimal Wear),0,13,3,3
USP-S | Neo-Noir (Minimal Wear),0,13,3,3
CZ75-Auto | Imprint (Minimal Wear),0,14,0,3
Five-SeveN | Scumbria (Minimal Wear),0,14,0,3
G3SG1 | Ventilator (Minimal Wear),0,14,0,3
Negev | Dazzle (Minimal Wear),0,14,0,3
P90 | Grim (Minimal Wear),0,14,0,3
UMP-45 | Briefing (Minimal Wear),0,14,0,3
XM1014 | Slipstream (Minimal Wear),0,14,0,3
Desert Eagle | Directive (Minimal Wear),0,14,1,3
Glock-18 | Weasel (Minimal Wear),0,14,1,3
MAG-7 | Petroglyph (Minimal Wear),0,14,1,3
SCAR-20 | Powercore (Minimal Wear),0,14,1,3
SG 553 | Triarch (Minimal Wear),0,14,1,3
AUG | Syd Mead (Minimal Wear),0,14,2,3
MP9 | Airlock (Minimal Wear),0,14,2,3
Tec-9 | Fuel Injector (Minimal Wear),0,14,2,3
AK-47 | Neon Revolution (Minimal Wear),0,14,3,3
FAMAS | Roll Cage (Minimal Wear),0,14,3,3
AUG | Amber Slipstream (Minimal Wear),0,15,0,3
Dual Berettas | Shred (Minimal Wear),0,15,0,3
Glock-18 | Warhawk (Minimal Wear),0,15,0,3
MP9 | Capillary (Minimal Wear),0,15,0,3
P90 | Traction (Minimal Wear),0,15,0,3
R8 Revolver | Survivalist (Minimal Wear),0,15,0,3
Tec-9 | Snek-9 (Minimal Wear),0,15,0,3
CZ75-Auto | Eco (Minimal Wear),0,15,1,3
G3SG1 | High Seas (Minimal Wear),0,15,1,3
Nova | Toy Soldier (Minimal Wear),0,15,1,3
AWP | PAW (Minimal Wear),0,15,1,3
MP7 | Powercore (Minimal Wear),0,15,1,3
M4A1-S | Nightmare (Minimal Wear),0,15,2,3
Sawed-Off | Devourer (Minimal Wear),0,15,2,3
FAMAS | Eye of Athena (Minimal Wear),0,15,2,3
AK-47 | Neon Rider (Minimal Wear),0,15,3,3
Desert Eagle | Code Red (Minimal Wear),0,15,3,3
AK-47 | Elite Build (Minimal Wear),0,16,0,3
MP7 | Armor Core (Minimal Wear),0,16,0,3
Desert Eagle | Bronze Deco (Minimal Wear),0,16,0,3
P250 | Valence (Minimal Wear),0,16,0,3
Negev | Man-o'-war (Minimal Wear),0,16,0,3
Sawed-Off | Origami (Minimal Wear),0,16,0,3
AWP | Worm God (Minimal Wear),0,16,1,3
MAG-7 | Heat (Minimal Wear),0,16,1,3
CZ75-Auto | Pole Position (Minimal Wear),0,16,1,3
UMP-45 | Grand Prix (Minimal Wear),0,16,1,3
Five-SeveN | Monkey Business (Minimal Wear),0,16,2,3
Galil AR | Eco (Minimal Wear),0,16,2,3
FAMAS | Djinn (Minimal Wear),0,16,2,3
M4A1-S | Hyper Beast (Minimal Wear),0,16,3,3
MAC-10 | Neon Rider (Minimal Wear),0,16,3,3
Five-SeveN | Violent Daimyo (Minimal Wear),0,17,0,3
MAC-10 | Carnivore (Minimal Wear),0,17,0,3
Nova | Exo (Minimal Wear),0,17,0,3
P250 | Iron Clad (Minimal Wear),0,17,0,3
PP-Bizon | Harvester (Minimal Wear),0,17,0,3
SG 553 | Aerial (Minimal Wear),0,17,0,3
Tec-9 | Ice Cap (Minimal Wear),0,17,0,3
AUG | Aristocrat (Minimal Wear),0,17,1,3
AWP | Phobos (Minimal Wear),0,17,1,3
P90 | Chopper (Minimal Wear),0,17,1,3
R8 Revolver | Reboot (Minimal Wear),0,17,1,3
Sawed-Off | Limelight (Minimal Wear),0,17,1,3
M4A4 | Desolate Space (Minimal Wear),0,17,2,3
P2000 | Imperial Dragon (Minimal Wear),0,17,2,3
SCAR-20 | Bloodsport (Minimal Wear),0,17,2,3
Glock-18 | Wasteland Rebel (Minimal Wear),0,17,3,3
M4A1-S | Mecha Industries (Minimal Wear),0,17,3,3
R8 Revolver | Crimson Web (Minimal Wear),0,18,0,3
AUG | Ricochet (Minimal Wear),0,18,0,3
Desert Eagle | Corinthian (Minimal Wear),0,18,0,3
P2000 | Imperial (Minimal Wear),0,18,0,3
Sawed-Off | Yorick (Minimal Wear),0,18,0,3
SCAR-20 | Outbreak (Minimal Wear),0,18,0,3
PP-Bizon | Fuel Rod (Minimal Wear),0,18,1,3
Five-SeveN | Retrobution (Minimal Wear),0,18,1,3
Negev | Power Loader (Minimal Wear),0,18,1,3
SG 553 | Tiger Moth (Minimal Wear),0,18,1,3
Tec-9 | Avalanche (Minimal Wear),0,18,1,3
XM1014 | Teclu Burner (Minimal Wear),0,18,1,3
AK-47 | Point Disarray (Minimal Wear),0,18,2,3
G3SG1 | The Executioner (Minimal Wear),0,18,2,3
P90 | Shapewood (Minimal Wear),0,18,2,3
M4A4 | Royal Paladin (Minimal Wear),0,18,3,3
R8 Revolver | Fade (Minimal Wear),0,18,3,3
Dual Berettas | Elite 1.6 (Minimal Wear),0,19,0,3
Tec-9 | Flash Out (Minimal Wear),0,19,0,3
MAC-10 | Classic Crate (Minimal Wear),0,19,0,3
MAG-7 | Popdog (Minimal Wear),0,19,0,3
SCAR-20 | Assault (Minimal Wear),0,19,0,3
FAMAS | Decommissioned (Minimal Wear),0,19,0,3
Glock-18 | Sacrifice (Minimal Wear),0,19,0,3
M249 | Aztec (Minimal Wear),0,19,1,3
MP5-SD | Agent (Minimal Wear),0,19,1,3
Five-SeveN | Buddy (Minimal Wear),0,19,1,3
P250 | Inferno (Minimal Wear),0,19,1,3
UMP-45 | Plastique (Minimal Wear),0,19,1,3
MP9 | Hydra (Minimal Wear),0,19,2,3
P90 | Nostalgia (Minimal Wear),0,19,2,3
AUG | Death by Puppy (Minimal Wear),0,19,2,3
AWP | Wildfire (Minimal Wear),0,19,3,3
FAMAS | Commemoration (Minimal Wear),0,19,3,3
UMP-45 | Corporal (Minimal Wear),0,20,0,3
Negev | Terrain (Minimal Wear),0,20,0,3
Tec-9 | Sandstorm (Minimal Wear),0,20,0,3
MAG-7 | Heaven Guard (Minimal Wear),0,20,0,3
MAC-10 | Heat (Minimal Wear),0,20,1,3
SG 553 | Pulse (Minimal Wear),0,20,1,3
FAMAS | Sergeant (Minimal Wear),0,20,1,3
USP-S | Guardian (Minimal Wear),0,20,1,3
AK-47 | Redline (Minimal Wear),0,20,2,3
P90 | Trigon (Minimal Wear),0,20,2,3
Nova | Antique (Minimal Wear),0,20,2,3
AWP | Asiimov (Minimal Wear),0,20,3,3
AUG | Chameleon (Minimal Wear),0,20,3,3
PP-Bizon | Photic Zone (Minimal Wear),0,21,0,3
Dual Berettas | Cartel (Minimal Wear),0,21,0,3
MAC-10 | Lapis Gator (Minimal Wear),0,21,0,3
SSG 08 | Necropos (Minimal Wear),0,21,0,3
Tec-9 | Jambiya (Minimal Wear),0,21,0,3
USP-S | Lead Conduit (Minimal Wear),0,21,0,3
FAMAS | Valence (Minimal Wear),0,21,1,3
Five-SeveN | Triumvirate (Minimal Wear),0,21,1,3
Glock-18 | Royal Legion (Minimal Wear),0,21,1,3
MAG-7 | Praetorian (Minimal Wear),0,21,1,3
MP7 | Impire (Minimal Wear),0,21,1,3
AWP | Elite Build (Minimal Wear),0,21,2,3
Desert Eagle | Kumicho Dragon (Minimal Wear),0,21,2,3
Nova | Hyper Beast (Minimal Wear),0,21,2,3
AK-47 | Fuel Injector (Minimal Wear),0,21,3,3
M4A4 | The Battlestar (Minimal Wear),0,21,3,3
Dual Berettas | Dualing Dragons (Minimal Wear),0,22,0,3
FAMAS | Survivor Z (Minimal Wear),0,22,0,3
Glock-18 | Wraiths (Minimal Wear),0,22,0,3
MAC-10 | Rangeen (Minimal Wear),0,22,0,3
MAG-7 | Cobalt Core (Minimal Wear),0,22,0,3
SCAR-20 | Green Marine (Minimal Wear),0,22,0,3
XM1014 | Scumbria (Minimal Wear),0,22,0,3
Galil AR | Stone Cold (Minimal Wear),0,22,1,3
M249 | Nebula Crusader (Minimal Wear),0,22,1,3
MP7 | Special Delivery (Minimal Wear),0,22,1,3
P250 | Wingshot (Minimal Wear),0,22,1,3
AK-47 | Frontside Misty (Minimal Wear),0,22,2,3
G3SG1 | Flux (Minimal Wear),0,22,2,3
SSG 08 | Big Iron (Minimal Wear),0,22,2,3
M4A1-S | Golden Coil (Minimal Wear),0,22,3,3
USP-S | Kill Confirmed (Minimal Wear),0,22,3,3
CZ75-Auto | Vendetta (Minimal Wear),0,23,0,3
P90 | Cocoa Rampage (Minimal Wear),0,23,0,3
G3SG1 | Digital Mesh (Minimal Wear),0,23,0,3
Galil AR | Vandal (Minimal Wear),0,23,0,3
P250 | Contaminant (Minimal Wear),0,23,0,3
M249 | Deep Relief (Minimal Wear),0,23,0,3
MP5-SD | Condition Zero (Minimal Wear),0,23,0,3
AWP | Exoskeleton (Minimal Wear),0,23,1,3
Dual Berettas | Dezastre (Minimal Wear),0,23,1,3
Nova | Clear Polymer (Minimal Wear),0,23,1,3
SSG 08 | Parallax (Minimal Wear),0,23,1,3
UMP-45 | Gold Bismuth (Minimal Wear),0,23,1,3
Five-SeveN | Fairy Tale (Minimal Wear),0,23,2,3
M4A4 | Cyber Security (Minimal Wear),0,23,2,3
USP-S | Monster Mashup (Minimal Wear),0,23,2,3
M4A1-S | Printstream (Minimal Wear),0,23,3,3
Glock-18 | Neo-Noir (Minimal Wear),0,23,3,3
Galil AR | Rocket Pop (Minimal Wear),0,24,0,3
Glock-18 | Bunsen Burner (Minimal Wear),0,24,0,3
Nova | Ranger (Minimal Wear),0,24,0,3
P90 | Elite Build (Minimal Wear),0,24,0,3
UMP-45 | Riot (Minimal Wear),0,24,0,3
USP-S | Torque (Minimal Wear),0,24,0,3
FAMAS | Neural Net (Minimal Wear),0,24,1,3
M4A4 | Evil Daimyo (Minimal Wear),0,24,1,3
MP9 | Ruby Poison Dart (Minimal Wear),0,24,1,3
Negev | Loudmouth (Minimal Wear),0,24,1,3
P2000 | Handgun (Minimal Wear),0,24,1,3
CZ75-Auto | Yellow Jacket (Minimal Wear),0,24,2,3
MP7 | Nemesis (Minimal Wear),0,24,2,3
SG 553 | Cyrex (Minimal Wear),0,24,2,3
AK-47 | Aquamarine Revenge (Minimal Wear),0,24,3,3
AWP | Hyper Beast (Minimal Wear),0,24,3,3
Glock-18 | Catacombs (Minimal Wear),0,25,0,3
M249 | System Lock (Minimal Wear),0,25,0,3
MP9 | Deadly Poison (Minimal Wear),0,25,0,3
SCAR-20 | Grotto (Minimal Wear),0,25,0,3
XM1014 | Quicksilver (Minimal Wear),0,25,0,3
Dual Berettas | Urban Shock (Minimal Wear),0,25,1,3
Desert Eagle | Naga (Minimal Wear),0,25,1,3
MAC-10 | Malachite (Minimal Wear),0,25,1,3
Sawed-Off | Serenity (Minimal Wear),0,25,1,3
AK-47 | Cartel (Minimal Wear),0,25,2,3
M4A4 | 龍王 (Dragon King) (Minimal Wear),0,25,2,3
P250 | Muertos (Minimal Wear),0,25,2,3
AWP | Man-o'-war (Minimal Wear),0,25,3,3
Galil AR | Chatterbox (Minimal Wear),0,25,3,3
AUG | Plague (Minimal Wear),0,26,0,3
Dual Berettas | Tread (Minimal Wear),0,26,0,3
G3SG1 | Keeping Tabs (Minimal Wear),0,26,0,3
MP7 | Guerrilla (Minimal Wear),0,26,0,3
PP-Bizon | Lumen (Minimal Wear),0,26,0,3
USP-S | Black Lotus (Minimal Wear),0,26,0,3
XM1014 | Watchdog (Minimal Wear),0,26,0,3
MAG-7 | BI83 Spectrum (Minimal Wear),0,26,1,3
FAMAS | ZX Spectron (Minimal Wear),0,26,1,3
Five-SeveN | Boost Protocol (Minimal Wear),0,26,1,3
MP9 | Mount Fuji (Minimal Wear),0,26,1,3
M4A4 | Spider Lily (Minimal Wear),0,26,1,3
MAC-10 | Toybox (Minimal Wear),0,26,2,3
Glock-18 | Snack Attack (Minimal Wear),0,26,2,3
SSG 08 | Turbo Peek (Minimal Wear),0,26,2,3
AK-47 | Leet Museo (Minimal Wear),0,26,3,3
Desert Eagle | Ocean Drive (Minimal Wear),0,26,3,3
SG 553 | Wave Spray (Minimal Wear),0,27,0,3
Dual Berettas | Black Limba (Minimal Wear),0,27,0,3
Nova | Tempest (Minimal Wear),0,27,0,3
Galil AR | Shattered (Minimal Wear),0,27,0,3
UMP-45 | Bone Pile (Minimal Wear),0,27,0,3
G3SG1 | Demeter (Minimal Wear),0,27,0,3
USP-S | Overgrowth (Minimal Wear),0,27,1,3
M4A4 | Zirka (Minimal Wear),0,27,1,3
MAC-10 | Graven (Minimal Wear),0,27,1,3
M4A1-S | Bright Water (Minimal Wear),0,27,1,3
P90 | Emerald Dragon (Minimal Wear),0,27,2,3
P2000 | Ocean Foam (Minimal Wear),0,27,2,3
AWP | Graphite (Minimal Wear),0,27,2,3
AK-47 | Fire Serpent (Minimal Wear),0,27,3,3
Desert Eagle | Golden Koi (Minimal Wear),0,27,3,3
USP-S | Blueprint (Minimal Wear),0,28,0,3
FAMAS | Macabre (Minimal Wear),0,28,0,3
M4A1-S | Briefing (Minimal Wear),0,28,0,3
MAC-10 | Aloha (Minimal Wear),0,28,0,3
MAG-7 | Hard Water (Minimal Wear),0,28,0,3
Tec-9 | Cut Out (Minimal Wear),0,28,0,3
UMP-45 | Metal Flowers (Minimal Wear),0,28,0,3
AK-47 | Orbit Mk01 (Minimal Wear),0,28,1,3
P2000 | Woodsman (Minimal Wear),0,28,1,3
P250 | Red Rock (Minimal Wear),0,28,1,3
P90 | Death Grip (Minimal Wear),0,28,1,3
SSG 08 | Death's Head (Minimal Wear),0,28,1,3
Dual Berettas | Cobra Strike (Minimal Wear),0,28,2,3
Galil AR | Sugar Rush (Minimal Wear),0,28,2,3
M4A4 | Hellfire (Minimal Wear),0,28,2,3
Five-SeveN | Hyper Beast (Minimal Wear),0,28,3,3
AWP | Oni Taiji (Minimal Wear),0,28,3,3
CZ75-Auto | Crimson Web (Minimal Wear),0,29,0,3
P2000 | Red FragCam (Minimal Wear),0,29,0,3
Dual Berettas | Panther (Minimal Wear),0,29,0,3
USP-S | Stainless (Minimal Wear),0,29,0,3
Glock-18 | Blue Fissure (Minimal Wear),0,29,0,3
CZ75-Auto | Tread Plate (Minimal Wear),0,29,1,3
Tec-9 | Titanium Bit (Minimal Wear),0,29,1,3
Desert Eagle | Heirloom (Minimal Wear),0,29,1,3
Five-SeveN | Copper Galaxy (Minimal Wear),0,29,1,3
