Item,Lowest Price,Collection,Rarity,Wear
Dual Berettas | Ventilators (Field-Tested),0,0,0,2
M4A4 | Magnesium (Field-Tested),0,8,0,2
Sawed-Off | Black Sand (Field-Tested),0,8,0,2
SG 553 | Danger Close (Field-Tested),0,8,0,2
Tec-9 | Fubar (Field-Tested),0,8,0,2
G3SG1 | Scavenger (Field-Tested),0,8,1,2
Galil AR | Signal (Field-Tested),0,8,1,2
MAC-10 | Pipe Down (Field-Tested),0,8,1,2
P250 | Nevermore (Field-Tested),0,8,1,2
USP-S | Flashback (Field-Tested),0,8,1,2
UMP-45 | Momentum (Field-Tested),0,8,2,2
Desert Eagle | Mecha Industries (Field-Tested),0,8,2,2
MP5-SD | Phosphor (Field-Tested),0,8,2,2
AK-47 | Asiimov (Field-Tested),0,8,3,2
AWP | Neo-Noir (Field-Tested),0,8,3,2
PP-Bizon | Night Riot (Field-Tested),0,9,0,2
Five-SeveN | Flame Test (Field-Tested),0,9,0,2
MP9 | Black Sand (Field-Tested),0,9,0,2
P2000 | Urban Hazard (Field-Tested),0,9,0,2
R8 Revolver | Grip (Field-Tested),0,9,0,2
SG 553 | Aloha (Field-Tested),0,9,0,2
XM1014 | Oxide Blaze (Field-Tested),0,9,0,2
Glock-18 | Moonrise (Field-Tested),0,9,1,2
Negev | Lionfish (Field-Tested),0,9,1,2
Nova | Wild Six (Field-Tested),0,9,1,2
MAG-7 | SWAG-7 (Field-Tested),0,9,1,2
UMP-45 | Arctic Wolf (Field-Tested),0,9,1,2
AUG | Stymphalian (Field-Tested),0,9,2,2
AWP | Mortis (Field-Tested),0,9,2,2
USP-S | Cortex (Field-Tested),0,9,2,2
M4A4 | Neo-Noir (Field-Tested),0,9,3,2
MP7 | Bloodsport (Field-Tested),0,9,3,2
CZ75-Auto | Polymer (Field-Tested),0,10,0,2
Glock-18 | Ironwork (Field-Tested),0,10,0,2
MP7 | Cirrus (Field-Tested),0,10,0,2
Galil AR | Black Sand (Field-Tested),0,10,0,2
MP9 | Sand Scale (Field-Tested),0,10,0,2
MAG-7 | Sonar (Field-Tested),0,10,0,2
P2000 | Turf (Field-Tested),0,10,0,2
Dual Berettas | Royal Consorts (Field-Tested),0,10,1,2
G3SG1 | Stinger (Field-Tested),0,10,1,2
M4A1-S | Flashback (Field-Tested),0,10,1,2
Nova | Gila (Field-Tested),0,10,1,2
USP-S | Cyrex (Field-Tested),0,10,1,2
FAMAS | Mecha Industries (Field-Tested),0,10,2,2
P90 | Shallow Grave (Field-Tested),0,10,2,2
Sawed-Off | Wasteland Princess (Field-Tested),0,10,2,2
SSG 08 | Dragonfire (Field-Tested),0,10,3,2
M4A4 | Buzz Kill (Field-Tested),0,10,3,2
FAMAS | Crypsis (Field-Tested),0,11,0,2
AK-47 | Uncharted (Field-Tested),0,11,0,2
MAC-10 | Whitefish (Field-Tested),0,11,0,2
Galil AR | Akoben (Field-Tested),0,11,0,2
MP7 | Mischief (Field-Tested),0,11,0,2
P250 | Verdigris (Field-Tested),0,11,0,2
P90 | Off World (Field-Tested),0,11,0,2
AWP | Atheris (Field-Tested),0,11,1,2
Tec-9 | Bamboozle (Field-Tested),0,11,1,2
Desert Eagle | Light Rail (Field-Tested),0,11,1,2
MP5-SD | Gauss (Field-Tested),0,11,1,2
UMP-45 | Moonrise (Field-Tested),0,11,1,2
R8 Revolver | Skull Crusher (Field-Tested),0,11,2,2
AUG | Momentum (Field-Tested),0,11,2,2
XM1014 | Incinegator (Field-Tested),0,11,2,2
Five-SeveN | Angry Mob (Field-Tested),0,11,3,2
M4A4 | The Emperor (Field-Tested),0,11,3,2
Sawed-Off | Morris (Field-Tested),0,12,0,2
AUG | Triqua (Field-Tested),0,12,0,2
G3SG1 | Hunter (Field-Tested),0,12,0,2
Glock-18 | Off World (Field-Tested),0,12,0,2
MAC-10 | Oceanic (Field-Tested),0,12,0,2
Tec-9 | Cracked Opal (Field-Tested),0,12,0,2
SCAR-20 | Jungle Slipstream (Field-Tested),0,12,0,2
MP9 | Goo (Field-Tested),0,12,1,2
SG 553 | Phantom (Field-Tested),0,12,1,2
CZ75-Auto | Tacticat (Field-Tested),0,12,1,2
UMP-45 | Exposure (Field-Tested),0,12,1,2
XM1014 | Ziggy (Field-Tested),0,12,1,2
PP-Bizon | High Roller (Field-Tested),0,12,2,2
M4A1-S | Leaded Glass (Field-Tested),0,12,2,2
R8 Revolver | Llama Cannon (Field-Tested),0,12,2,2
AK-47 | The Empress (Field-Tested),0,12,3,2
P250 | See Ya Later (Field-Tested),0,12,3,2
PP-Bizon | Jungle Slipstream (Field-Tested),0,13,0,2
SCAR-20 | Blueprint (Field-Tested),0,13,0,2
Desert Eagle | Oxide Blaze (Field-Tested),0,13,0,2
Five-SeveN | Capillary (Field-Tested),0,13,0,2
MP7 | Akoben (Field-Tested),0,13,0,2
P250 | Ripple (Field-Tested),0,13,0,2
Sawed-Off | Zander (Field-Tested),0,13,0,2
Galil AR | Crimson Tsunami (Field-Tested),0,13,1,2
M249 | Emerald Poison Dart (Field-Tested),0,13,1,2
MAC-10 | Last Dive (Field-Tested),0,13,1,2
UMP-45 | Scaffold (Field-Tested),0,13,1,2
XM1014 | Seasons (Field-Tested),0,13,1,2
AWP | Fever Dream (Field-Tested),0,13,2,2
CZ75-Auto | Xiangliu (Field-Tested),0,13,2,2
M4A1-S | Decimator (Field-Tested),0,13,2,2
AK-47 | Bloodsport (Field-Tested),0,13,3,2
USP-S | Neo-Noir (Field-Tested),0,13,3,2
CZ75-Auto | Imprint (Field-Tested),0,14,0,2
Five-SeveN | Scumbria (Field-Tested),0,14,0,2
G3SG1 | Ventilator (Field-Tested),0,14,0,2
Negev | Dazzle (Field-Tested),0,14,0,2
P90 | Grim (Field-Tested),0,14,0,2
UMP-45 | Briefing (Field-Tested),0,14,0,2
XM1014 | Slipstream (Field-Tested),0,14,0,2
Desert Eagle | Directive (Field-Tested),0,14,1,2
Glock-18 | Weasel (Field-Tested),0,14,1,2
MAG-7 | Petroglyph (Field-Tested),0,14,1,2
SCAR-20 | Powercore (Field-Tested),0,14,1,2
SG 553 | Triarch (Field-Tested),0,14,1,2
AUG | Syd Mead (Field-Tested),0,14,2,2
MP9 | Airlock (Field-Tested),0,14,2,2
Tec-9 | Fuel Injector (Field-Tested),0,14,2,2
AK-47 | Neon Revolution (Field-Tested),0,14,3,2
FAMAS | Roll Cage (Field-Tested),0,14,3,2
AUG | Amber Slipstream (Field-Tested),0,15,0,2
Dual Berettas | Shred (Field-Tested),0,15,0,2
Glock-18 | Warhawk (Field-Tested),0,15,0,2
MP9 | Capillary (Field-Tested),0,15,0,2
P90 | Traction (Field-Tested),0,15,0,2
R8 Revolver | Survivalist (Field-Tested),0,15,0,2
Tec-9 | Snek-9 (Field-Tested),0,15,0,2
CZ75-Auto | Eco (Field-Tested),0,15,1,2
G3SG1 | High Seas (Field-Tested),0,15,1,2
Nova | Toy Soldier (Field-Tested),0,15,1,2
AWP | PAW (Field-Tested),0,15,1,2
MP7 | Powercore (Field-Tested),0,15,1,2
M4A1-S | Nightmare (Field-Tested),0,15,2,2
Sawed-Off | Devourer (Field-Tested),0,15,2,2
FAMAS | Eye of Athena (Field-Tested),0,15,2,2
AK-47 | Neon Rider (Field-Tested),0,15,3,2
Desert Eagle | Code Red (Field-Tested),0,15,3,2
AK-47 | Elite Build (Field-Tested),0,16,0,2
MP7 | Armor Core (Field-Tested),0,16,0,2
Desert Eagle | Bronze Deco (Field-Tested),0,16,0,2
P250 | Valence (Field-Tested),0,16,0,2
Negev | Man-o'-war (Field-Tested),0,16,0,2
Sawed-Off | Origami (Field-Tested),0,16,0,2
AWP | Worm God (Field-Tested),0,16,1,2
MAG-7 | Heat (Field-Tested),0,16,1,2
CZ75-Auto | Pole Position (Field-Tested),0,16,1,2
UMP-45 | Grand Prix (Field-Tested),0,16,1,2
Five-SeveN | Monkey Business (Field-Tested),0,16,2,2
Galil AR | Eco (Field-Tested),0,16,2,2
FAMAS | Djinn (Field-Tested),0,16,2,2
M4A1-S | Hyper Beast (Field-Tested),0,16,3,2
MAC-10 | Neon Rider (Field-Tested),0,16,3,2
Five-SeveN | Violent Daimyo (Field-Tested),0,17,0,2
MAC-10 | Carnivore (Field-Tested),0,17,0,2
Nova | Exo (Field-Tested),0,17,0,2
P250 | Iron Clad (Field-Tested),0,17,0,2
PP-Bizon | Harvester (Field-Tested),0,17,0,2
SG 553 | Aerial (Field-Tested),0,17,0,2
Tec-9 | Ice Cap (Field-Tested),0,17,0,2
AUG | Aristocrat (Field-Tested),0,17,1,2
AWP | Phobos (Field-Tested),0,17,1,2
P90 | Chopper (Field-Tested),0,17,1,2
R8 Revolver | Reboot (Field-Tested),0,17,1,2
Sawed-Off | Limelight (Field-Tested),0,17,1,2
M4A4 | Desolate Space (Field-Tested),0,17,2,2
P2000 | Imperial Dragon (Field-Tested),0,17,2,2
SCAR-20 | Bloodsport (Field-Tested),0,17,2,2
Glock-18 | Wasteland Rebel (Field-Tested),0,17,3,2
M4A1-S | Mecha Industries (Field-Tested),0,17,3,2
R8 Revolver | Crimson Web (Field-Tested),0,18,0,2
AUG | Ricochet (Field-Tested),0,18,0,2
Desert Eagle | Corinthian (Field-Tested),0,18,0,2
P2000 | Imperial (Field-Tested),0,18,0,2
Sawed-Off | Yorick (Field-Tested),0,18,0,2
SCAR-20 | Outbreak (Field-Tested),0,18,0,2
PP-Bizon | Fuel Rod (Field-Tested),0,18,1,2
Five-SeveN | Retrobution (Field-Tested),0,18,1,2
Negev | Power Loader (Field-Tested),0,18,1,2
SG 553 | Tiger Moth (Field-Tested),0,18,1,2
Tec-9 | Avalanche (Field-Tested),0,18,1,2
XM1014 | Teclu Burner (Field-Tested),0,18,1,2
AK-47 | Point Disarray (Field-Tested),0,18,2,2
G3SG1 | The Executioner (Field-Tested),0,18,2,2
P90 | Shapewood (Field-Tested),0,18,2,2
M4A4 | Royal Paladin (Field-Tested),0,18,3,2
R8 Revolver | Fade (Field-Tested),0,18,3,2
Dual Berettas | Elite 1.6 (Field-Tested),0,19,0,2
Tec-9 | Flash Out (Field-Tested),0,19,0,2
MAC-10 | Classic Crate (Field-Tested),0,19,0,2
MAG-7 | Popdog (Field-Tested),0,19,0,2
SCAR-20 | Assault (Field-Tested),0,19,0,2
FAMAS | Decommissioned (Field-Tested),0,19,0,2
Glock-18 | Sacrifice (Field-Tested),0,19,0,2
M249 | Aztec (Field-Tested),0,19,1,2
MP5-SD | Agent (Field-Tested),0,19,1,2
Five-SeveN | Buddy (Field-Tested),0,19,1,2
P250 | Inferno (Field-Tested),0,19,1,2
UMP-45 | Plastique (Field-Tested),0,19,1,2
MP9 | Hydra (Field-Tested),0,19,2,2
P90 | Nostalgia (Field-Tested),0,19,2,2
AUG | Death by Puppy (Field-Tested),0,19,2,2
AWP | Wildfire (Field-Tested),0,19,3,2
FAMAS | Commemoration (Field-Tested),0,19,3,2
UMP-45 | Corporal (Field-Tested),0,20,0,2
Negev | Terrain (Field-Tested),0,20,0,2
Tec-9 | Sandstorm (Field-Tested),0,20,0,2
MAG-7 | Heaven Guard (Field-Tested),0,20,0,2
MAC-10 | Heat (Field-Tested),0,20,1,2
SG 553 | Pulse (Field-Tested),0,20,1,2
FAMAS | Sergeant (Field-Tested),0,20,1,2
USP-S | Guardian (Field-Tested),0,20,1,2
AK-47 | Redline (Field-Tested),0,20,2,2
P90 | Trigon (Field-Tested),0,20,2,2
Nova | Antique (Field-Tested),0,20,2,2
AWP | Asiimov (Field-Tested),0,20,3,2
AUG | Chameleon (Field-Tested),0,20,3,2
PP-Bizon | Photic Zone (Field-Tested),0,21,0,2
Dual Berettas | Cartel (Field-Tested),0,21,0,2
MAC-10 | Lapis Gator (Field-Tested),0,21,0,2
SSG 08 | Necropos (Field-Tested),0,21,0,2
Tec-9 | Jambiya (Field-Tested),0,21,0,2
USP-S | Lead Conduit (Field-Tested),0,21,0,2
FAMAS | Valence (Field-Tested),0,21,1,2
Five-SeveN | Triumvirate (Field-Tested),0,21,1,2
Glock-18 | Royal Legion (Field-Tested),0,21,1,2
MAG-7 | Praetorian (Field-Tested),0,21,1,2
MP7 | Impire (Field-Tested),0,21,1,2
AWP | Elite Build (Field-Tested),0,21,2,2
Desert Eagle | Kumicho Dragon (Field-Tested),0,21,2,2
Nova | Hyper Beast (Field-Tested),0,21,2,2
AK-47 | Fuel Injector (Field-Tested),0,21,3,2
M4A4 | The Battlestar (Field-Tested),0,21,3,2
Dual Berettas | Dualing Dragons (Field-Tested),0,22,0,2
FAMAS | Survivor Z (Field-Tested),0,22,0,2
Glock-18 | Wraiths (Field-Tested),0,22,0,2
MAC-10 | Rangeen (Field-Tested),0,22,0,2
MAG-7 | Cobalt Core (Field-Tested),0,22,0,2
SCAR-20 | Green Marine (Field-Tested),0,22,0,2
XM1014 | Scumbria (Field-Tested),0,22,0,2
Galil AR | Stone Cold (Field-Tested),0,22,1,2
M249 | Nebula Crusader (Field-Tested),0,22,1,2
MP7 | Special Delivery (Field-Tested),0,22,1,2
P250 | Wingshot (Field-Tested),0,22,1,2
AK-47 | Frontside Misty (Field-Tested),0,22,2,2
G3SG1 | Flux (Field-Tested),0,22,2,2
SSG 08 | Big Iron (Field-Tested),0,22,2,2
M4A1-S | Golden Coil (Field-Tested),0,22,3,2
USP-S | Kill Confirmed (Field-Tested),0,22,3,2
CZ75-Auto | Vendetta (Field-Tested),0,23,0,2
P90 | Cocoa Rampage (Field-Tested),0,23,0,2
G3SG1 | Digital Mesh (Field-Tested),0,23,0,2
Galil AR | Vandal (Field-Tested),0,23,0,2
P250 | Contaminant (Field-Tested),0,23,0,2
M249 | Deep Relief (Field-Tested),0,23,0,2
MP5-SD | Condition Zero (Field-Tested),0,23,0,2
AWP | Exoskeleton (Field-Tested),0,23,1,2
Dual Berettas | Dezastre (Field-Tested),0,23,1,2
Nova | Clear Polymer (Field-Tested),0,23,1,2
SSG 08 | Parallax (Field-Tested),0,23,1,2
UMP-45 | Gold Bismuth (Field-Tested),0,23,1,2
Five-SeveN | Fairy Tale (Field-Tested),0,23,2,2
M4A4 | Cyber Security (Field-Tested),0,23,2,2
USP-S | Monster Mashup (Field-Tested),0,23,2,2
M4A1-S | Printstream (Field-Tested),0,23,3,2
Glock-18 | Neo-Noir (Field-Tested),0,23,3,2
Galil AR | Rocket Pop (Field-Tested),0,24,0,2
Glock-18 | Bunsen Burner (Field-Tested),0,24,0,2
Nova | Ranger (Field-Tested),0,24,0,2
P90 | Elite Build (Field-Tested),0,24,0,2
UMP-45 | Riot (Field-Tested),0,24,0,2
USP-S | Torque (Field-Tested),0,24,0,2
FAMAS | Neural Net (Field-Tested),0,24,1,2
M4A4 | Evil Daimyo (Field-Tested),0,24,1,2
MP9 | Ruby Poison Dart (Field-Tested),0,24,1,2
Negev | Loudmouth (Field-Tested),0,24,1,2
P2000 | Handgun (Field-Tested),0,24,1,2
CZ75-Auto | Yellow Jacket (Field-Tested),0,24,2,2
MP7 | Nemesis (Field-Tested),0,24,2,2
SG 553 | Cyrex (Field-Tested),0,24,2,2
AK-47 | Aquamarine Revenge (Field-Tested),0,24,3,2
AWP | Hyper Beast (Field-Tested),0,24,3,2
Glock-18 | Catacombs (Field-Tested),0,25,0,2
M249 | System Lock (Field-Tested),0,25,0,2
MP9 | Deadly Poison (Field-Tested),0,25,0,2
SCAR-20 | Grotto (Field-Tested),0,25,0,2
XM1014 | Quicksilver (Field-Tested),0,25,0,2
Dual Berettas | Urban Shock (Field-Tested),0,25,1,2
Desert Eagle | Naga (Field-Tested),0,25,1,2
MAC-10 | Malachite (Field-Tested),0,25,1,2
Sawed-Off | Serenity (Field-Tested),0,25,1,2
AK-47 | Cartel (Field-Tested),0,25,2,2
M4A4 | 龍王 (Dragon King) (Field-Tested),0,25,2,2
P250 | Muertos (Field-Tested),0,25,2,2
AWP | Man-o'-war (Field-Tested),0,25,3,2
Galil AR | Chatterbox (Field-Tested),0,25,3,2
AUG | Plague (Field-Tested),0,26,0,2
Dual Berettas | Tread (Field-Tested),0,26,0,2
G3SG1 | Keeping Tabs (Field-Tested),0,26,0,2
MP7 | Guerrilla (Field-Tested),0,26,0,2
PP-Bizon | Lumen (Field-Tested),0,26,0,2
USP-S | Black Lotus (Field-Tested),0,26,0,2
XM1014 | Watchdog (Field-Tested),0,26,0,2
MAG-7 | BI83 Spectrum (Field-Tested),0,26,1,2
FAMAS | ZX Spectron (Field-Tested),0,26,1,2
Five-SeveN | Boost Protocol (Field-Tested),0,26,1,2
MP9 | Mount Fuji (Field-Tested),0,26,1,2
M4A4 | Spider Lily (Field-Tested),0,26,1,2
MAC-10 | Toybox (Field-Tested),0,26,2,2
Glock-18 | Snack Attack (Field-Tested),0,26,2,2
SSG 08 | Turbo Peek (Field-Tested),0,26,2,2
AK-47 | Leet Museo (Field-Tested),0,26,3,2
Desert Eagle | Ocean Drive (Field-Tested),0,26,3,2
SG 553 | Wave Spray (Field-Tested),0,27,0,2
Dual Berettas | Black Limba (Field-Tested),0,27,0,2
Nova | Tempest (Field-Tested),0,27,0,2
Galil AR | Shattered (Field-Tested),0,27,0,2
UMP-45 | Bone Pile (Field-Tested),0,27,0,2
G3SG1 | Demeter (Field-Tested),0,27,0,2
USP-S | Overgrowth (Field-Tested),0,27,1,2
M4A4 | Zirka (Field-Tested),0,27,1,2
MAC-10 | Graven (Field-Tested),0,27,1,2
M4A1-S | Bright Water (Field-Tested),0,27,1,2
P90 | Emerald Dragon (Field-Tested),0,27,2,2
P2000 | Ocean Foam (Field-Tested),0,27,2,2
AWP | Graphite (Field-Tested),0,27,2,2
AK-47 | Fire Serpent (Field-Tested),0,27,3,2
Desert Eagle | Golden Koi (Field-Tested),0,27,3,2
USP-S | Blueprint (Field-Tested),0,28,0,2
FAMAS | Macabre (Field-Tested),0,28,0,2
M4A1-S | Briefing (Field-Tested),0,28,0,2
MAC-10 | Aloha (Field-Tested),0,28,0,2
MAG-7 | Hard Water (Field-Tested),0,28,0,2
Tec-9 | Cut Out (Field-Tested),0,28,0,2
UMP-45 | Metal Flowers (Field-Tested),0,28,0,2
AK-47 | Orbit Mk01 (Field-Tested),0,28,1,2
P2000 | Woodsman (Field-Tested),0,28,1,2
P250 | Red Rock (Field-Tested),0,28,1,2
P90 | Death Grip (Field-Tested),0,28,1,2
SSG 08 | Death's Head (Field-Tested),0,28,1,2
Dual Berettas | Cobra Strike (Field-Tested),0,28,2,2
Galil AR | Sugar Rush (Field-Tested),0,28,2,2
M4A4 | Hellfire (Field-Tested),0,28,2,2
Five-SeveN | Hyper Beast (Field-Tested),0,28,3,2
AWP | Oni Taiji (Field-Tested),0,28,3,2
CZ75-Auto | Crimson Web (Field-Tested),0,29,0,2
P2000 | Red FragCam (Field-Tested),0,29,0,2
Dual Berettas | Panther (Field-Tested),0,29,0,2
USP-S | Stainless (Field-Tested),0,29,0,2
Glock-18 | Blue Fissure (Field-Tested),0,29,0,2
CZ75-Auto | Tread Plate (Field-Tested),0,29,1,2
Tec-9 | Titanium Bit (Field-Tested),0,29,1,2
Desert Eagle | Heirloom (Field-Tested),0,29,1,2
Five-SeveN | Copper Galaxy (Field-Tested),0,29,1,2
CZ75-Auto | The Fuschia Is Now (Field-Tested),0,29,2,2
P250 | Undertow (Field-Tested),0,29,2,2
CZ75-Auto | Victoria (Field-Tested),0,29,3,2
Galil AR | Blue Titanium (Field-Tested),0,30,0,2
Five-SeveN | Nightshade (Field-Tested),0,30,0,2
PP-Bizon | Water Sigil (Field-Tested),0,30,0,2
Nova | Ghost Camo (Field-Tested),0,30,0,2
G3SG1 | Azure Zebra (Field-Tested),0,30,0,2
P250 | Steel Disruption (Field-Tested),0,30,0,2
AK-47 | Blue Laminate (Field-Tested),0,30,1,2
P90 | Blind Spot (Field-Tested),0,30,1,2
FAMAS | Afterimage (Field-Tested),0,30,2,2
AWP | Electric Hive (Field-Tested),0,30,2,2
Desert Eagle | Cobalt Disruption (Field-Tested),0,30,2,2
M4A4 | X-Ray (Field-Tested),0,30,3,2
MP5-SD | Acid Wash (Field-Tested),0,31,0,2
Nova | Plume (Field-Tested),0,31,0,2
