Item,Lowest Price,Collection,Rarity,Wear
Dual Berettas | Ventilators (Factory New),0,0,0,4
P250 | Supernova (Factory New),0,7,1,4
Desert Eagle | Conspiracy (Factory New),0,7,2,4
Five-SeveN | Fowl Play (Factory New),0,7,2,4
Glock-18 | Water Elemental (Factory New),0,7,2,4
P90 | Asiimov (Factory New),0,7,3,4
M4A1-S | Cyrex (Factory New),0,7,3,4
MP9 | Modest Threat (Factory New),0,8,0,4
Glock-18 | Oxide Blaze (Factory New),0,8,0,4
Nova | Wood Fired (Factory New),0,8,0,4
M4A4 | Magnesium (Factory New),0,8,0,4
Sawed-Off | Black Sand (Factory New),0,8,0,4
SG 553 | Danger Close (Factory New),0,8,0,4
Tec-9 | Fubar (Factory New),0,8,0,4
G3SG1 | Scavenger (Factory New),0,8,1,4
Galil AR | Signal (Factory New),0,8,1,4
MAC-10 | Pipe Down (Factory New),0,8,1,4
P250 | Nevermore (Factory New),0,8,1,4
USP-S | Flashback (Factory New),0,8,1,4
UMP-45 | Momentum (Factory New),0,8,2,4
Desert Eagle | Mecha Industries (Factory New),0,8,2,4
MP5-SD | Phosphor (Factory New),0,8,2,4
AK-47 | Asiimov (Factory New),0,8,3,4
AWP | Neo-Noir (Factory New),0,8,3,4
PP-Bizon | Night Riot (Factory New),0,9,0,4
Five-SeveN | Flame Test (Factory New),0,9,0,4
MP9 | Black Sand (Factory New),0,9,0,4
P2000 | Urban Hazard (Factory New),0,9,0,4
R8 Revolver | Grip (Factory New),0,9,0,4
SG 553 | Aloha (Factory New),0,9,0,4
XM1014 | Oxide Blaze (Factory New),0,9,0,4
Glock-18 | Moonrise (Factory New),0,9,1,4
Negev | Lionfish (Factory New),0,9,1,4
Nova | Wild Six (Factory New),0,9,1,4
MAG-7 | SWAG-7 (Factory New),0,9,1,4
UMP-45 | Arctic Wolf (Factory New),0,9,1,4
AUG | Stymphalian (Factory New),0,9,2,4
AWP | Mortis (Factory New),0,9,2,4
USP-S | Cortex (Factory New),0,9,2,4
M4A4 | Neo-Noir (Factory New),0,9,3,4
MP7 | Bloodsport (Factory New),0,9,3,4
CZ75-Auto | Polymer (Factory New),0,10,0,4
Glock-18 | Ironwork (Factory New),0,10,0,4
MP7 | Cirrus (Factory New),0,10,0,4
Galil AR | Black Sand (Factory New),0,10,0,4
MP9 | Sand Scale (Factory New),0,10,0,4
MAG-7 | Sonar (Factory New),0,10,0,4
P2000 | Turf (Factory New),0,10,0,4
Dual Berettas | Royal Consorts (Factory New),0,10,1,4
G3SG1 | Stinger (Factory New),0,10,1,4
M4A1-S | Flashback (Factory New),0,10,1,4
Nova | Gila (Factory New),0,10,1,4
USP-S | Cyrex (Factory New),0,10,1,4
FAMAS | Mecha Industries (Factory New),0,10,2,4
P90 | Shallow Grave (Factory New),0,10,2,4
Sawed-Off | Wasteland Princess (Factory New),0,10,2,4
SSG 08 | Dragonfire (Factory New),0,10,3,4
M4A4 | Buzz Kill (Factory New),0,10,3,4
FAMAS | Crypsis (Factory New),0,11,0,4
AK-47 | Uncharted (Factory New),0,11,0,4
MAC-10 | Whitefish (Factory New),0,11,0,4
Galil AR | Akoben (Factory New),0,11,0,4
MP7 | Mischief (Factory New),0,11,0,4
P250 | Verdigris (Factory New),0,11,0,4
P90 | Off World (Factory New),0,11,0,4
AWP | Atheris (Factory New),0,11,1,4
Tec-9 | Bamboozle (Factory New),0,11,1,4
Desert Eagle | Light Rail (Factory New),0,11,1,4
MP5-SD | Gauss (Factory New),0,11,1,4
UMP-45 | Moonrise (Factory New),0,11,1,4
R8 Revolver | Skull Crusher (Factory New),0,11,2,4
AUG | Momentum (Factory New),0,11,2,4
XM1014 | Incinegator (Factory New),0,11,2,4
Five-SeveN | Angry Mob (Factory New),0,11,3,4
M4A4 | The Emperor (Factory New),0,11,3,4
Sawed-Off | Morris (Factory New),0,12,0,4
AUG | Triqua (Factory New),0,12,0,4
G3SG1 | Hunter (Factory New),0,12,0,4
Glock-18 | Off World (Factory New),0,12,0,4
MAC-10 | Oceanic (Factory New),0,12,0,4
Tec-9 | Cracked Opal (Factory New),0,12,0,4
SCAR-20 | Jungle Slipstream (Factory New),0,12,0,4
MP9 | Goo (Factory New),0,12,1,4
SG 553 | Phantom (Factory New),0,12,1,4
CZ75-Auto | Tacticat (Factory New),0,12,1,4
UMP-45 | Exposure (Factory New),0,12,1,4
XM1014 | Ziggy (Factory New),0,12,1,4
PP-Bizon | High Roller (Factory New),0,12,2,4
M4A1-S | Leaded Glass (Factory New),0,12,2,4
R8 Revolver | Llama Cannon (Factory New),0,12,2,4
AK-47 | The Empress (Factory New),0,12,3,4
P250 | See Ya Later (Factory New),0,12,3,4
PP-Bizon | Jungle Slipstream (Factory New),0,13,0,4
SCAR-20 | Blueprint (Factory New),0,13,0,4
Desert Eagle | Oxide Blaze (Factory New),0,13,0,4
Five-SeveN | Capillary (Factory New),0,13,0,4
MP7 | Akoben (Factory New),0,13,0,4
P250 | Ripple (Factory New),0,13,0,4
Sawed-Off | Zander (Factory New),0,13,0,4
Galil AR | Crimson Tsunami (Factory New),0,13,1,4
M249 | Emerald Poison Dart (Factory New),0,13,1,4
MAC-10 | Last Dive (Factory New),0,13,1,4
UMP-45 | Scaffold (Factory New),0,13,1,4
XM1014 | Seasons (Factory New),0,13,1,4
AWP | Fever Dream (Factory New),0,13,2,4
CZ75-Auto | Xiangliu (Factory New),0,13,2,4
M4A1-S | Decimator (Factory New),0,13,2,4
AK-47 | Bloodsport (Factory New),0,13,3,4
USP-S | Neo-Noir (Factory New),0,13,3,4
CZ75-Auto | Imprint (Factory New),0,14,0,4
Five-SeveN | Scumbria (Factory New),0,14,0,4
G3SG1 | Ventilator (Factory New),0,14,0,4
Negev | Dazzle (Factory New),0,14,0,4
P90 | Grim (Factory New),0,14,0,4
UMP-45 | Briefing (Factory New),0,14,0,4
XM1014 | Slipstream (Factory New),0,14,0,4
Desert Eagle | Directive (Factory New),0,14,1,4
Glock-18 | Weasel (Factory New),0,14,1,4
MAG-7 | Petroglyph (Factory New),0,14,1,4
SCAR-20 | Powercore (Factory New),0,14,1,4
SG 553 | Triarch (Factory New),0,14,1,4
AUG | Syd Mead (Factory New),0,14,2,4
MP9 | Airlock (Factory New),0,14,2,4
Tec-9 | Fuel Injector (Factory New),0,14,2,4
AK-47 | Neon Revolution (Factory New),0,14,3,4
FAMAS | Roll Cage (Factory New),0,14,3,4
AUG | Amber Slipstream (Factory New),0,15,0,4
Dual Berettas | Shred (Factory New),0,15,0,4
Glock-18 | Warhawk (Factory New),0,15,0,4
MP9 | Capillary (Factory New),0,15,0,4
P90 | Traction (Factory New),0,15,0,4
R8 Revolver | Survivalist (Factory New),0,15,0,4
Tec-9 | Snek-9 (Factory New),0,15,0,4
CZ75-Auto | Eco (Factory New),0,15,1,4
G3SG1 | High Seas (Factory New),0,15,1,4
Nova | Toy Soldier (Factory New),0,15,1,4
AWP | PAW (Factory New),0,15,1,4
MP7 | Powercore (Factory New),0,15,1,4
M4A1-S | Nightmare (Factory New),0,15,2,4
Sawed-Off | Devourer (Factory New),0,15,2,4
FAMAS | Eye of Athena (Factory New),0,15,2,4
AK-47 | Neon Rider (Factory New),0,15,3,4
Desert Eagle | Code Red (Factory New),0,15,3,4
AK-47 | Elite Build (Factory New),0,16,0,4
MP7 | Armor Core (Factory New),0,16,0,4
Desert Eagle | Bronze Deco (Factory New),0,16,0,4
P250 | Valence (Factory New),0,16,0,4
Negev | Man-o'-war (Factory New),0,16,0,4
Sawed-Off | Origami (Factory New),0,16,0,4
AWP | Worm God (Factory New),0,16,1,4
MAG-7 | Heat (Factory New),0,16,1,4
CZ75-Auto | Pole Position (Factory New),0,16,1,4
UMP-45 | Grand Prix (Factory New),0,16,1,4
Five-SeveN | Monkey Business (Factory New),0,16,2,4
Galil AR | Eco (Factory New),0,16,2,4
FAMAS | Djinn (Factory New),0,16,2,4
M4A1-S | Hyper Beast (Factory New),0,16,3,4
MAC-10 | Neon Rider (Factory New),0,16,3,4
Five-SeveN | Violent Daimyo (Factory New),0,17,0,4
MAC-10 | Carnivore (Factory New),0,17,0,4
Nova | Exo (Factory New),0,17,0,4
P250 | Iron Clad (Factory New),0,17,0,4
PP-Bizon | Harvester (Factory New),0,17,0,4
SG 553 | Aerial (Factory New),0,17,0,4
Tec-9 | Ice Cap (Factory New),0,17,0,4
AUG | Aristocrat (Factory New),0,17,1,4
AWP | Phobos (Factory New),0,17,1,4
P90 | Chopper (Factory New),0,17,1,4
R8 Revolver | Reboot (Factory New),0,17,1,4
Sawed-Off | Limelight (Factory New),0,17,1,4
M4A4 | Desolate Space (Factory New),0,17,2,4
P2000 | Imperial Dragon (Factory New),0,17,2,4
SCAR-20 | Bloodsport (Factory New),0,17,2,4
Glock-18 | Wasteland Rebel (Factory New),0,17,3,4
M4A1-S | Mecha Industries (Factory New),0,17,3,4
R8 Revolver | Crimson Web (Factory New),0,18,0,4
AUG | Ricochet (Factory New),0,18,0,4
Desert Eagle | Corinthian (Factory New),0,18,0,4
P2000 | Imperial (Factory New),0,18,0,4
Sawed-Off | Yorick (Factory New),0,18,0,4
SCAR-20 | Outbreak (Factory New),0,18,0,4
PP-Bizon | Fuel Rod (Factory New),0,18,1,4
Five-SeveN | Retrobution (Factory New),0,18,1,4
Negev | Power Loader (Factory New),0,18,1,4
SG 553 | Tiger Moth (Factory New),0,18,1,4
Tec-9 | Avalanche (Factory New),0,18,1,4
XM1014 | Teclu Burner (Factory New),0,18,1,4
AK-47 | Point Disarray (Factory New),0,18,2,4
G3SG1 | The Executioner (Factory New),0,18,2,4
P90 | Shapewood (Factory New),0,18,2,4
M4A4 | Royal Paladin (Factory New),0,18,3,4
R8 Revolver | Fade (Factory New),0,18,3,4
Dual Berettas | Elite 1.6 (Factory New),0,19,0,4
Tec-9 | Flash Out (Factory New),0,19,0,4
MAC-10 | Classic Crate (Factory New),0,19,0,4
MAG-7 | Popdog (Factory New),0,19,0,4
SCAR-20 | Assault (Factory New),0,19,0,4
FAMAS | Decommissioned (Factory New),0,19,0,4
Glock-18 | Sacrifice (Factory New),0,19,0,4
M249 | Aztec (Factory New),0,19,1,4
MP5-SD | Agent (Factory New),0,19,1,4
Five-SeveN | Buddy (Factory New),0,19,1,4
P250 | Inferno (Factory New),0,19,1,4
UMP-45 | Plastique (Factory New),0,19,1,4
MP9 | Hydra (Factory New),0,19,2,4
P90 | Nostalgia (Factory New),0,19,2,4
AUG | Death by Puppy (Factory New),0,19,2,4
AWP | Wildfire (Factory New),0,19,3,4
FAMAS | Commemoration (Factory New),0,19,3,4
UMP-45 | Corporal (Factory New),0,20,0,4
Negev | Terrain (Factory New),0,20,0,4
Tec-9 | Sandstorm (Factory New),0,20,0,4
MAG-7 | Heaven Guard (Factory New),0,20,0,4
MAC-10 | Heat (Factory New),0,20,1,4
SG 553 | Pulse (Factory New),0,20,1,4
FAMAS | Sergeant (Factory New),0,20,1,4
USP-S | Guardian (Factory New),0,20,1,4
AK-47 | Redline (Factory New),0,20,2,4
P90 | Trigon (Factory New),0,20,2,4
Nova | Antique (Factory New),0,20,2,4
AWP | Asiimov (Factory New),0,20,3,4
AUG | Chameleon (Factory New),0,20,3,4
PP-Bizon | Photic Zone (Factory New),0,21,0,4
Dual Berettas | Cartel (Factory New),0,21,0,4
MAC-10 | Lapis Gator (Factory New),0,21,0,4
SSG 08 | Necropos (Factory New),0,21,0,4
Tec-9 | Jambiya (Factory New),0,21,0,4
USP-S | Lead Conduit (Factory New),0,21,0,4
FAMAS | Valence (Factory New),0,21,1,4
Five-SeveN | Triumvirate (Factory New),0,21,1,4
Glock-18 | Royal Legion (Factory New),0,21,1,4
MAG-7 | Praetorian (Factory New),0,21,1,4
MP7 | Impire (Factory New),0,21,1,4
AWP | Elite Build (Factory New),0,21,2,4
Desert Eagle | Kumicho Dragon (Factory New),0,21,2,4
Nova | Hyper Beast (Factory New),0,21,2,4
AK-47 | Fuel Injector (Factory New),0,21,3,4
M4A4 | The Battlestar (Factory New),0,21,3,4
Dual Berettas | Dualing Dragons (Factory New),0,22,0,4
FAMAS | Survivor Z (Factory New),0,22,0,4
Glock-18 | Wraiths (Factory New),0,22,0,4
MAC-10 | Rangeen (Factory New),0,22,0,4
MAG-7 | Cobalt Core (Factory New),0,22,0,4
SCAR-20 | Green Marine (Factory New),0,22,0,4
XM1014 | Scumbria (Factory New),0,22,0,4
Galil AR | Stone Cold (Factory New),0,22,1,4
M249 | Nebula Crusader (Factory New),0,22,1,4
MP7 | Special Delivery (Factory New),0,22,1,4
P250 | Wingshot (Factory New),0,22,1,4
AK-47 | Frontside Misty (Factory New),0,22,2,4
G3SG1 | Flux (Factory New),0,22,2,4
SSG 08 | Big Iron (Factory New),0,22,2,4
M4A1-S | Golden Coil (Factory New),0,22,3,4
USP-S | Kill Confirmed (Factory New),0,22,3,4
CZ75-Auto | Vendetta (Factory New),0,23,0,4
P90 | Cocoa Rampage (Factory New),0,23,0,4
G3SG1 | Digital Mesh (Factory New),0,23,0,4
Galil AR | Vandal (Factory New),0,23,0,4
P250 | Contaminant (Factory New),0,23,0,4
M249 | Deep Relief (Factory New),0,23,0,4
MP5-SD | Condition Zero (Factory New),0,23,0,4
AWP | Exoskeleton (Factory New),0,23,1,4
Dual Berettas | Dezastre (Factory New),0,23,1,4
Nova | Clear Polymer (Factory New),0,23,1,4
SSG 08 | Parallax (Factory New),0,23,1,4
UMP-45 | Gold Bismuth (Factory New),0,23,1,4
Five-SeveN | Fairy Tale (Factory New),0,23,2,4
M4A4 | Cyber Security (Factory New),0,23,2,4
USP-S | Monster Mashup (Factory New),0,23,2,4
M4A1-S | Printstream (Factory New),0,23,3,4
Glock-18 | Neo-Noir (Factory New),0,23,3,4
Galil AR | Rocket Pop (Factory New),0,24,0,4
Glock-18 | Bunsen Burner (Factory New),0,24,0,4
Nova | Ranger (Factory New),0,24,0,4
P90 | Elite Build (Factory New),0,24,0,4
UMP-45 | Riot (Factory New),0,24,0,4
USP-S | Torque (Factory New),0,24,0,4
FAMAS | Neural Net (Factory New),0,24,1,4
M4A4 | Evil Daimyo (Factory New),0,24,1,4
MP9 | Ruby Poison Dart (Factory New),0,24,1,4
Negev | Loudmouth (Factory New),0,24,1,4
P2000 | Handgun (Factory New),0,24,1,4
CZ75-Auto | Yellow Jacket (Factory New),0,24,2,4
MP7 | Nemesis (Factory New),0,24,2,4
SG 553 | Cyrex (Factory New),0,24,2,4
AK-47 | Aquamarine Revenge (Factory New),0,24,3,4
AWP | Hyper Beast (Factory New),0,24,3,4
Glock-18 | Catacombs (Factory New),0,25,0,4
M249 | System Lock (Factory New),0,25,0,4
MP9 | Deadly Poison (Factory New),0,25,0,4
SCAR-20 | Grotto (Factory New),0,25,0,4
XM1014 | Quicksilver (Factory New),0,25,0,4
Dual Berettas | Urban Shock (Factory New),0,25,1,4
Desert Eagle | Naga (Factory New),0,25,1,4
MAC-10 | Malachite (Factory New),0,25,1,4
Sawed-Off | Serenity (Factory New),0,25,1,4
AK-47 | Cartel (Factory New),0,25,2,4
M4A4 | 龍王 (Dragon King) (Factory New),0,25,2,4
P250 | Muertos (Factory New),0,25,2,4
AWP | Man-o'-war (Factory New),0,25,3,4
Galil AR | Chatterbox (Factory New),0,25,3,4
AUG | Plague (Factory New),0,26,0,4
Dual Berettas | Tread (Factory New),0,26,0,4
G3SG1 | Keeping Tabs (Factory New),0,26,0,4
MP7 | Guerrilla (Factory New),0,26,0,4
PP-Bizon | Lumen (Factory New),0,26,0,4
USP-S | Black Lotus (Factory New),0,26,0,4
XM1014 | Watchdog (Factory New),0,26,0,4
MAG-7 | BI83 Spectrum (Factory New),0,26,1,4
FAMAS | ZX Spectron (Factory New),0,26,1,4
Five-SeveN | Boost Protocol (Factory New),0,26,1,4
MP9 | Mount Fuji (Factory New),0,26,1,4
M4A4 | Spider Lily (Factory New),0,26,1,4
MAC-10 | Toybox (Factory New),0,26,2,4
Glock-18 | Snack Attack (Factory New),0,26,2,4
SSG 08 | Turbo Peek (Factory New),0,26,2,4
AK-47 | Leet Museo (Factory New),0,26,3,4
Desert Eagle | Ocean Drive (Factory New),0,26,3,4
SG 553 | Wave Spray (Factory New),0,27,0,4
Dual Berettas | Black Limba (Factory New),0,27,0,4
Nova | Tempest (Factory New),0,27,0,4
Galil AR | Shattered (Factory New),0,27,0,4
UMP-45 | Bone Pile (Factory New),0,27,0,4
G3SG1 | Demeter (Factory New),0,27,0,4
USP-S | Overgrowth (Factory New),0,27,1,4
M4A4 | Zirka (Factory New),0,27,1,4
MAC-10 | Graven (Factory New),0,27,1,4
M4A1-S | Bright Water (Factory New),0,27,1,4
P90 | Emerald Dragon (Factory New),0,27,2,4
P2000 | Ocean Foam (Factory New),0,27,2,4
AWP | Graphite (Factory New),0,27,2,4
AK-47 | Fire Serpent (Factory New),0,27,3,4
Desert Eagle | Golden Koi (Factory New),0,27,3,4
USP-S | Blueprint (Factory New),0,28,0,4
FAMAS | Macabre (Factory New),0,28,0,4
M4A1-S | Briefing (Factory New),0,28,0,4
MAC-10 | Aloha (Factory New),0,28,0,4
MAG-7 | Hard Water (Factory New),0,28,0,4
Tec-9 | Cut Out (Factory New),0,28,0,4
UMP-45 | Metal Flowers (Factory New),0,28,0,4
AK-47 | Orbit Mk01 (Factory New),0,28,1,4
P2000 | Woodsman (Factory New),0,28,1,4
P250 | Red Rock (Factory New),0,28,1,4
P90 | Death Grip (Factory New),0,28,1,4
SSG 08 | Death's Head (Factory New),0,28,1,4
Dual Berettas | Cobra Strike (Factory New),0,28,2,4
Galil AR | Sugar Rush (Factory New),0,28,2,4
M4A4 | Hellfire (Factory New),0,28,2,4
Five-SeveN | Hyper Beast (Factory New),0,28,3,4
AWP | Oni Taiji (Factory New),0,28,3,4
CZ75-Auto | Crimson Web (Factory New),0,29,0,4
P2000 | Red FragCam (Factory New),0,29,0,4
Dual Berettas | Panther (Factory New),0,29,0,4
USP-S | Stainless (Factory New),0,29,0,4
Glock-18 | Blue Fissure (Factory New),0,29,0,4
CZ75-Auto | Tread Plate (Factory New),0,29,1,4
Tec-9 | Titanium Bit (Factory New),0,29,1,4
Desert Eagle | Heirloom (Factory New),0,29,1,4
Five-SeveN | Copper Galaxy (Factory New),0,29,1,4
CZ75-Auto | The Fuschia Is Now (Factory New),0,29,2,4
P250 | Undertow (Factory New),0,29,2,4
CZ75-Auto | Victoria (Factory New),0,29,3,4
Galil AR | Blue Titanium (Factory New),0,30,0,4
Five-SeveN | Nightshade (Factory New),0,30,0,4
PP-Bizon | Water Sigil (Factory New),0,30,0,4
Nova | Ghost Camo (Factory New),0,30,0,4
G3SG1 | Azure Zebra (Factory New),0,30,0,4
P250 | Steel Disruption (Factory New),0,30,0,4
AK-47 | Blue Laminate (Factory New),0,30,1,4
P90 | Blind Spot (Factory New),0,30,1,4
FAMAS | Afterimage (Factory New),0,30,2,4
AWP | Electric Hive (Factory New),0,30,2,4
Desert Eagle | Cobalt Disruption (Factory New),0,30,2,4
M4A4 | X-Ray (Factory New),0,30,3,4
MP5-SD | Acid Wash (Factory New),0,31,0,4
Nova | Plume (Factory New),0,31,0,4
G3SG1 | Black Sand (Factory New),0,31,0,4
R8 Revolver | Memento (Factory New),0,31,0,4
Dual Berettas | Balance (Factory New),0,31,0,4
SCAR-20 | Torn (Factory New),0,31,0,4
M249 | Warbird (Factory New),0,31,0,4
PP-Bizon | Embargo (Factory New),0,31,1,4
AK-47 | Rat Rod (Factory New),0,31,1,4
AUG | Arctic Wolf (Factory New),0,31,1,4
MP7 | Neon Ply (Factory New),0,31,1,4
P2000 | Obsidian (Factory New),0,31,1,4
Tec-9 | Decimator (Factory New),0,31,2,4
SG 553 | Colony IV (Factory New),0,31,2,4
SSG 08 | Bloodshot (Factory New),0,31,2,4
AWP | Containment Breach (Factory New),0,31,3,4
MAC-10 | Stalker (Factory New),0,31,3,4
Tec-9 | Isaac (Factory New),0,32,0,4
SSG 08 | Slashed (Factory New),0,32,0,4
Galil AR | Kami (Factory New),0,32,0,4
CZ75-Auto | Twist (Factory New),0,32,0,4
P90 | Module (Factory New),0,32,0,4
P2000 | Pulse (Factory New),0,32,0,4
AUG | Torque (Factory New),0,32,1,4
PP-Bizon | Antique (Factory New),0,32,1,4
XM1014 | Heaven Guard (Factory New),0,32,1,4
MAC-10 | Tatter (Factory New),0,32,1,4
M4A1-S | Atomic Alloy (Factory New),0,32,2,4
SCAR-20 | Cyrex (Factory New),0,32,2,4
USP-S | Caiman (Factory New),0,32,2,4
AK-47 | Vulcan (Factory New),0,32,3,4
M4A4 | Desert-Strike (Factory New),0,32,3,4
G3SG1 | Murky (Factory New),0,33,0,4
MAG-7 | Firestarter (Factory New),0,33,0,4
MP9 | Dart (Factory New),0,33,0,4
Five-SeveN | Urban Hazard (Factory New),0,33,0,4
UMP-45 | Delusion (Factory New),0,33,0,4
Glock-18 | Grinder (Factory New),0,33,1,4
M4A1-S | Basilisk (Factory New),0,33,1,4
M4A4 | Griffin (Factory New),0,33,1,4
Sawed-Off | Highwayman (Factory New),0,33,1,4
P250 | Cartel (Factory New),0,33,2,4
SCAR-20 | Cardiac (Factory New),0,33,2,4
