Item,Lowest Price,Collection,Rarity,Wear
Dual Berettas | Ventilators (Battle-Scarred),0,0,0,0
MAG-7 | Foresight (Battle-Scarred),0,2,0,0
MP5-SD | Necro Jr. (Battle-Scarred),0,2,0,0
P2000 | Lifted Spirits (Battle-Scarred),0,2,0,0
SCAR-20 | Poultrygeist (Battle-Scarred),0,2,0,0
Sawed-Off | Spirit Board (Battle-Scarred),0,2,0,0
PP-Bizon | Space Cat (Battle-Scarred),0,2,1,0
G3SG1 | Dream Glade (Battle-Scarred),0,2,1,0
M4A1-S | Night Terror (Battle-Scarred),0,2,1,0
XM1014 | Zombie Offensive (Battle-Scarred),0,2,1,0
USP-S | Ticket to Hell (Battle-Scarred),0,2,1,0
Dual Berettas | Melondrama (Battle-Scarred),0,2,2,0
FAMAS | Rapid Eye Movement (Battle-Scarred),0,2,2,0
MP7 | Abyssal Apparition (Battle-Scarred),0,2,2,0
AK-47 | Nightwish (Battle-Scarred),0,2,3,0
MP9 | Starlight Protector (Battle-Scarred),0,2,3,0
Negev | Ultralight (Battle-Scarred),0,3,0,0
P2000 | Gnarled (Battle-Scarred),0,3,0,0
SG 553 | Ol' Rusty (Battle-Scarred),0,3,0,0
SSG 08 | Mainframe 001 (Battle-Scarred),0,3,0,0
P250 | Cassette (Battle-Scarred),0,3,0,0
P90 | Freight (Battle-Scarred),0,3,0,0
PP-Bizon | Runic (Battle-Scarred),0,3,0,0
MAG-7 | Monster Call (Battle-Scarred),0,3,1,0
Tec-9 | Brother (Battle-Scarred),0,3,1,0
MAC-10 | Allure (Battle-Scarred),0,3,1,0
Galil AR | Connexion (Battle-Scarred),0,3,1,0
MP5-SD | Kitbash (Battle-Scarred),0,3,1,0
M4A4 | Tooth Fairy (Battle-Scarred),0,3,2,0
Glock-18 | Vogue (Battle-Scarred),0,3,2,0
XM1014 | Entombed (Battle-Scarred),0,3,2,0
Desert Eagle | Printstream (Battle-Scarred),0,3,3,0
AK-47 | Legion of Anubis (Battle-Scarred),0,3,3,0
FAMAS | Meow 36 (Battle-Scarred),0,4,0,0
Galil AR | Destroyer (Battle-Scarred),0,4,0,0
M4A4 | Poly Mag (Battle-Scarred),0,4,0,0
MAC-10 | Monkeyflage (Battle-Scarred),0,4,0,0
Negev | Drop Me (Battle-Scarred),0,4,0,0
UMP-45 | Roadblock (Battle-Scarred),0,4,0,0
Glock-18 | Winterized (Battle-Scarred),0,4,0,0
R8 Revolver | Crazy 8 (Battle-Scarred),0,4,1,0
M249 | Downtown (Battle-Scarred),0,4,1,0
SG 553 | Dragon Tech (Battle-Scarred),0,4,1,0
P90 | Vent Rush (Battle-Scarred),0,4,1,0
Dual Berettas | Flora Carnivora (Battle-Scarred),0,4,1,0
AK-47 | Ice Coaled (Battle-Scarred),0,4,2,0
P250 | Visions (Battle-Scarred),0,4,2,0
Sawed-Off | Kiss♥Love (Battle-Scarred),0,4,2,0
USP-S | Printstream (Battle-Scarred),0,4,3,0
AWP | Chromatic Aberration (Battle-Scarred),0,4,3,0
SG 553 | Heavy Metal (Battle-Scarred),0,5,0,0
Glock-18 | Clear Polymer (Battle-Scarred),0,5,0,0
M249 | O.S.I.P.R. (Battle-Scarred),0,5,0,0
CZ75-Auto | Circaetus (Battle-Scarred),0,5,0,0
UMP-45 | Oscillator (Battle-Scarred),0,5,0,0
R8 Revolver | Junk Yard (Battle-Scarred),0,5,0,0
Nova | Windblown (Battle-Scarred),0,5,0,0
P250 | Cyber Shell (Battle-Scarred),0,5,1,0
Negev | dev_texture (Battle-Scarred),0,5,1,0
MAC-10 | Button Masher (Battle-Scarred),0,5,1,0
Desert Eagle | Trigger Discipline (Battle-Scarred),0,5,1,0
AK-47 | Slate (Battle-Scarred),0,5,1,0
MP9 | Food Chain (Battle-Scarred),0,5,2,0
XM1014 | XOXO (Battle-Scarred),0,5,2,0
Galil AR | Chromatic Aberration (Battle-Scarred),0,5,2,0
USP-S | The Traitor (Battle-Scarred),0,5,3,0
M4A4 | In Living Color (Battle-Scarred),0,5,3,0
AUG | Tom Cat (Battle-Scarred),0,6,0,0
AWP | Capillary (Battle-Scarred),0,6,0,0
CZ75-Auto | Distressed (Battle-Scarred),0,6,0,0
Desert Eagle | Blue Ply (Battle-Scarred),0,6,0,0
MP5-SD | Desert Strike (Battle-Scarred),0,6,0,0
Negev | Prototype (Battle-Scarred),0,6,0,0
R8 Revolver | Bone Forged (Battle-Scarred),0,6,0,0
P2000 | Acid Etched (Battle-Scarred),0,6,1,0
Sawed-Off | Apocalypto (Battle-Scarred),0,6,1,0
SCAR-20 | Enforcer (Battle-Scarred),0,6,1,0
SG 553 | Darkwing (Battle-Scarred),0,6,1,0
SSG 08 | Fever Dream (Battle-Scarred),0,6,1,0
AK-47 | Phantom Disruptor (Battle-Scarred),0,6,2,0
MAC-10 | Disco Tech (Battle-Scarred),0,6,2,0
MAG-7 | Justice (Battle-Scarred),0,6,2,0
M4A1-S | Player Two (Battle-Scarred),0,6,3,0
Glock-18 | Bullet Queen (Battle-Scarred),0,6,3,0
MP7 | Urban Hazard (Battle-Scarred),0,7,0,0
Negev | Desert-Strike (Battle-Scarred),0,7,0,0
P2000 | Ivory (Battle-Scarred),0,7,0,0
SSG 08 | Abyss (Battle-Scarred),0,7,0,0
UMP-45 | Labyrinth (Battle-Scarred),0,7,0,0
PP-Bizon | Osiris (Battle-Scarred),0,7,1,0
CZ75-Auto | Tigris (Battle-Scarred),0,7,1,0
Nova | Koi (Battle-Scarred),0,7,1,0
P250 | Supernova (Battle-Scarred),0,7,1,0
Desert Eagle | Conspiracy (Battle-Scarred),0,7,2,0
Five-SeveN | Fowl Play (Battle-Scarred),0,7,2,0
Glock-18 | Water Elemental (Battle-Scarred),0,7,2,0
P90 | Asiimov (Battle-Scarred),0,7,3,0
M4A1-S | Cyrex (Battle-Scarred),0,7,3,0
MP9 | Modest Threat (Battle-Scarred),0,8,0,0
Glock-18 | Oxide Blaze (Battle-Scarred),0,8,0,0
Nova | Wood Fired (Battle-Scarred),0,8,0,0
M4A4 | Magnesium (Battle-Scarred),0,8,0,0
Sawed-Off | Black Sand (Battle-Scarred),0,8,0,0
SG 553 | Danger Close (Battle-Scarred),0,8,0,0
Tec-9 | Fubar (Battle-Scarred),0,8,0,0
G3SG1 | Scavenger (Battle-Scarred),0,8,1,0
Galil AR | Signal (Battle-Scarred),0,8,1,0
MAC-10 | Pipe Down (Battle-Scarred),0,8,1,0
P250 | Nevermore (Battle-Scarred),0,8,1,0
USP-S | Flashback (Battle-Scarred),0,8,1,0
UMP-45 | Momentum (Battle-Scarred),0,8,2,0
Desert Eagle | Mecha Industries (Battle-Scarred),0,8,2,0
MP5-SD | Phosphor (Battle-Scarred),0,8,2,0
AK-47 | Asiimov (Battle-Scarred),0,8,3,0
AWP | Neo-Noir (Battle-Scarred),0,8,3,0
PP-Bizon | Night Riot (Battle-Scarred),0,9,0,0
Five-SeveN | Flame Test (Battle-Scarred),0,9,0,0
MP9 | Black Sand (Battle-Scarred),0,9,0,0
P2000 | Urban Hazard (Battle-Scarred),0,9,0,0
R8 Revolver | Grip (Battle-Scarred),0,9,0,0
SG 553 | Aloha (Battle-Scarred),0,9,0,0
XM1014 | Oxide Blaze (Battle-Scarred),0,9,0,0
Glock-18 | Moonrise (Battle-Scarred),0,9,1,0
Negev | Lionfish (Battle-Scarred),0,9,1,0
Nova | Wild Six (Battle-Scarred),0,9,1,0
MAG-7 | SWAG-7 (Battle-Scarred),0,9,1,0
UMP-45 | Arctic Wolf (Battle-Scarred),0,9,1,0
AUG | Stymphalian (Battle-Scarred),0,9,2,0
AWP | Mortis (Battle-Scarred),0,9,2,0
USP-S | Cortex (Battle-Scarred),0,9,2,0
M4A4 | Neo-Noir (Battle-Scarred),0,9,3,0
MP7 | Bloodsport (Battle-Scarred),0,9,3,0
CZ75-Auto | Polymer (Battle-Scarred),0,10,0,0
Glock-18 | Ironwork (Battle-Scarred),0,10,0,0
MP7 | Cirrus (Battle-Scarred),0,10,0,0
Galil AR | Black Sand (Battle-Scarred),0,10,0,0
MP9 | Sand Scale (Battle-Scarred),0,10,0,0
MAG-7 | Sonar (Battle-Scarred),0,10,0,0
P2000 | Turf (Battle-Scarred),0,10,0,0
Dual Berettas | Royal Consorts (Battle-Scarred),0,10,1,0
G3SG1 | Stinger (Battle-Scarred),0,10,1,0
M4A1-S | Flashback (Battle-Scarred),0,10,1,0
Nova | Gila (Battle-Scarred),0,10,1,0
USP-S | Cyrex (Battle-Scarred),0,10,1,0
FAMAS | Mecha Industries (Battle-Scarred),0,10,2,0
P90 | Shallow Grave (Battle-Scarred),0,10,2,0
Sawed-Off | Wasteland Princess (Battle-Scarred),0,10,2,0
SSG 08 | Dragonfire (Battle-Scarred),0,10,3,0
M4A4 | Buzz Kill (Battle-Scarred),0,10,3,0
FAMAS | Crypsis (Battle-Scarred),0,11,0,0
AK-47 | Uncharted (Battle-Scarred),0,11,0,0
MAC-10 | Whitefish (Battle-Scarred),0,11,0,0
Galil AR | Akoben (Battle-Scarred),0,11,0,0
MP7 | Mischief (Battle-Scarred),0,11,0,0
P250 | Verdigris (Battle-Scarred),0,11,0,0
P90 | Off World (Battle-Scarred),0,11,0,0
AWP | Atheris (Battle-Scarred),0,11,1,0
Tec-9 | Bamboozle (Battle-Scarred),0,11,1,0
Desert Eagle | Light Rail (Battle-Scarred),0,11,1,0
MP5-SD | Gauss (Battle-Scarred),0,11,1,0
UMP-45 | Moonrise (Battle-Scarred),0,11,1,0
R8 Revolver | Skull Crusher (Battle-Scarred),0,11,2,0
AUG | Momentum (Battle-Scarred),0,11,2,0
XM1014 | Incinegator (Battle-Scarred),0,11,2,0
Five-SeveN | Angry Mob (Battle-Scarred),0,11,3,0
M4A4 | The Emperor (Battle-Scarred),0,11,3,0
Sawed-Off | Morris (Battle-Scarred),0,12,0,0
AUG | Triqua (Battle-Scarred),0,12,0,0
G3SG1 | Hunter (Battle-Scarred),0,12,0,0
Glock-18 | Off World (Battle-Scarred),0,12,0,0
MAC-10 | Oceanic (Battle-Scarred),0,12,0,0
Tec-9 | Cracked Opal (Battle-Scarred),0,12,0,0
SCAR-20 | Jungle Slipstream (Battle-Scarred),0,12,0,0
MP9 | Goo (Battle-Scarred),0,12,1,0
SG 553 | Phantom (Battle-Scarred),0,12,1,0
CZ75-Auto | Tacticat (Battle-Scarred),0,12,1,0
UMP-45 | Exposure (Battle-Scarred),0,12,1,0
XM1014 | Ziggy (Battle-Scarred),0,12,1,0
PP-Bizon | High Roller (Battle-Scarred),0,12,2,0
M4A1-S | Leaded Glass (Battle-Scarred),0,12,2,0
R8 Revolver | Llama Cannon (Battle-Scarred),0,12,2,0
AK-47 | The Empress (Battle-Scarred),0,12,3,0
P250 | See Ya Later (Battle-Scarred),0,12,3,0
PP-Bizon | Jungle Slipstream (Battle-Scarred),0,13,0,0
SCAR-20 | Blueprint (Battle-Scarred),0,13,0,0
Desert Eagle | Oxide Blaze (Battle-Scarred),0,13,0,0
Five-SeveN | Capillary (Battle-Scarred),0,13,0,0
MP7 | Akoben (Battle-Scarred),0,13,0,0
P250 | Ripple (Battle-Scarred),0,13,0,0
Sawed-Off | Zander (Battle-Scarred),0,13,0,0
Galil AR | Crimson Tsunami (Battle-Scarred),0,13,1,0
M249 | Emerald Poison Dart (Battle-Scarred),0,13,1,0
MAC-10 | Last Dive (Battle-Scarred),0,13,1,0
UMP-45 | Scaffold (Battle-Scarred),0,13,1,0
XM1014 | Seasons (Battle-Scarred),0,13,1,0
AWP | Fever Dream (Battle-Scarred),0,13,2,0
CZ75-Auto | Xiangliu (Battle-Scarred),0,13,2,0
M4A1-S | Decimator (Battle-Scarred),0,13,2,0
AK-47 | Bloodsport (Battle-Scarred),0,13,3,0
USP-S | Neo-Noir (Battle-Scarred),0,13,3,0
CZ75-Auto | Imprint (Battle-Scarred),0,14,0,0
Five-SeveN | Scumbria (Battle-Scarred),0,14,0,0
G3SG1 | Ventilator (Battle-Scarred),0,14,0,0
Negev | Dazzle (Battle-Scarred),0,14,0,0
P90 | Grim (Battle-Scarred),0,14,0,0
UMP-45 | Briefing (Battle-Scarred),0,14,0,0
XM1014 | Slipstream (Battle-Scarred),0,14,0,0
Desert Eagle | Directive (Battle-Scarred),0,14,1,0
Glock-18 | Weasel (Battle-Scarred),0,14,1,0
MAG-7 | Petroglyph (Battle-Scarred),0,14,1,0
SCAR-20 | Powercore (Battle-Scarred),0,14,1,0
SG 553 | Triarch (Battle-Scarred),0,14,1,0
AUG | Syd Mead (Battle-Scarred),0,14,2,0
MP9 | Airlock (Battle-Scarred),0,14,2,0
Tec-9 | Fuel Injector (Battle-Scarred),0,14,2,0
AK-47 | Neon Revolution (Battle-Scarred),0,14,3,0
FAMAS | Roll Cage (Battle-Scarred),0,14,3,0
AUG | Amber Slipstream (Battle-Scarred),0,15,0,0
Dual Berettas | Shred (Battle-Scarred),0,15,0,0
Glock-18 | Warhawk (Battle-Scarred),0,15,0,0
MP9 | Capillary (Battle-Scarred),0,15,0,0
P90 | Traction (Battle-Scarred),0,15,0,0
R8 Revolver | Survivalist (Battle-Scarred),0,15,0,0
Tec-9 | Snek-9 (Battle-Scarred),0,15,0,0
CZ75-Auto | Eco (Battle-Scarred),0,15,1,0
G3SG1 | High Seas (Battle-Scarred),0,15,1,0
Nova | Toy Soldier (Battle-Scarred),0,15,1,0
AWP | PAW (Battle-Scarred),0,15,1,0
MP7 | Powercore (Battle-Scarred),0,15,1,0
M4A1-S | Nightmare (Battle-Scarred),0,15,2,0
Sawed-Off | Devourer (Battle-Scarred),0,15,2,0
FAMAS | Eye of Athena (Battle-Scarred),0,15,2,0
AK-47 | Neon Rider (Battle-Scarred),0,15,3,0
Desert Eagle | Code Red (Battle-Scarred),0,15,3,0
AK-47 | Elite Build (Battle-Scarred),0,16,0,0
MP7 | Armor Core (Battle-Scarred),0,16,0,0
Desert Eagle | Bronze Deco (Battle-Scarred),0,16,0,0
P250 | Valence (Battle-Scarred),0,16,0,0
Negev | Man-o'-war (Battle-Scarred),0,16,0,0
Sawed-Off | Origami (Battle-Scarred),0,16,0,0
AWP | Worm God (Battle-Scarred),0,16,1,0
MAG-7 | Heat (Battle-Scarred),0,16,1,0
CZ75-Auto | Pole Position (Battle-Scarred),0,16,1,0
UMP-45 | Grand Prix (Battle-Scarred),0,16,1,0
Five-SeveN | Monkey Business (Battle-Scarred),0,16,2,0
Galil AR | Eco (Battle-Scarred),0,16,2,0
FAMAS | Djinn (Battle-Scarred),0,16,2,0
M4A1-S | Hyper Beast (Battle-Scarred),0,16,3,0
MAC-10 | Neon Rider (Battle-Scarred),0,16,3,0
Five-SeveN | Violent Daimyo (Battle-Scarred),0,17,0,0
MAC-10 | Carnivore (Battle-Scarred),0,17,0,0
Nova | Exo (Battle-Scarred),0,17,0,0
P250 | Iron Clad (Battle-Scarred),0,17,0,0
PP-Bizon | Harvester (Battle-Scarred),0,17,0,0
SG 553 | Aerial (Battle-Scarred),0,17,0,0
Tec-9 | Ice Cap (Battle-Scarred),0,17,0,0
AUG | Aristocrat (Battle-Scarred),0,17,1,0
AWP | Phobos (Battle-Scarred),0,17,1,0
P90 | Chopper (Battle-Scarred),0,17,1,0
R8 Revolver | Reboot (Battle-Scarred),0,17,1,0
Sawed-Off | Limelight (Battle-Scarred),0,17,1,0
M4A4 | Desolate Space (Battle-Scarred),0,17,2,0
P2000 | Imperial Dragon (Battle-Scarred),0,17,2,0
SCAR-20 | Bloodsport (Battle-Scarred),0,17,2,0
Glock-18 | Wasteland Rebel (Battle-Scarred),0,17,3,0
M4A1-S | Mecha Industries (Battle-Scarred),0,17,3,0
R8 Revolver | Crimson Web (Battle-Scarred),0,18,0,0
AUG | Ricochet (Battle-Scarred),0,18,0,0
Desert Eagle | Corinthian (Battle-Scarred),0,18,0,0
P2000 | Imperial (Battle-Scarred),0,18,0,0
Sawed-Off | Yorick (Battle-Scarred),0,18,0,0
SCAR-20 | Outbreak (Battle-Scarred),0,18,0,0
PP-Bizon | Fuel Rod (Battle-Scarred),0,18,1,0
Five-SeveN | Retrobution (Battle-Scarred),0,18,1,0
Negev | Power Loader (Battle-Scarred),0,18,1,0
SG 553 | Tiger Moth (Battle-Scarred),0,18,1,0
Tec-9 | Avalanche (Battle-Scarred),0,18,1,0
XM1014 | Teclu Burner (Battle-Scarred),0,18,1,0
AK-47 | Point Disarray (Battle-Scarred),0,18,2,0
G3SG1 | The Executioner (Battle-Scarred),0,18,2,0
P90 | Shapewood (Battle-Scarred),0,18,2,0
M4A4 | Royal Paladin (Battle-Scarred),0,18,3,0
R8 Revolver | Fade (Battle-Scarred),0,18,3,0
Dual Berettas | Elite 1.6 (Battle-Scarred),0,19,0,0
Tec-9 | Flash Out (Battle-Scarred),0,19,0,0
MAC-10 | Classic Crate (Battle-Scarred),0,19,0,0
MAG-7 | Popdog (Battle-Scarred),0,19,0,0
SCAR-20 | Assault (Battle-Scarred),0,19,0,0
FAMAS | Decommissioned (Battle-Scarred),0,19,0,0
Glock-18 | Sacrifice (Battle-Scarred),0,19,0,0
M249 | Aztec (Battle-Scarred),0,19,1,0
MP5-SD | Agent (Battle-Scarred),0,19,1,0
Five-SeveN | Buddy (Battle-Scarred),0,19,1,0
P250 | Inferno (Battle-Scarred),0,19,1,0
UMP-45 | Plastique (Battle-Scarred),0,19,1,0
MP9 | Hydra (Battle-Scarred),0,19,2,0
P90 | Nostalgia (Battle-Scarred),0,19,2,0
AUG | Death by Puppy (Battle-Scarred),0,19,2,0
AWP | Wildfire (Battle-Scarred),0,19,3,0
FAMAS | Commemoration (Battle-Scarred),0,19,3,0
UMP-45 | Corporal (Battle-Scarred),0,20,0,0
Negev | Terrain (Battle-Scarred),0,20,0,0
Tec-9 | Sandstorm (Battle-Scarred),0,20,0,0
MAG-7 | Heaven Guard (Battle-Scarred),0,20,0,0
MAC-10 | Heat (Battle-Scarred),0,20,1,0
SG 553 | Pulse (Battle-Scarred),0,20,1,0
FAMAS | Sergeant (Battle-Scarred),0,20,1,0
USP-S | Guardian (Battle-Scarred),0,20,1,0
AK-47 | Redline (Battle-Scarred),0,20,2,0
P90 | Trigon (Battle-Scarred),0,20,2,0
Nova | Antique (Battle-Scarred),0,20,2,0
AWP | Asiimov (Battle-Scarred),0,20,3,0
AUG | Chameleon (Battle-Scarred),0,20,3,0
PP-Bizon | Photic Zone (Battle-Scarred),0,21,0,0
Dual Berettas | Cartel (Battle-Scarred),0,21,0,0
MAC-10 | Lapis Gator (Battle-Scarred),0,21,0,0
SSG 08 | Necropos (Battle-Scarred),0,21,0,0
Tec-9 | Jambiya (Battle-Scarred),0,21,0,0
USP-S | Lead Conduit (Battle-Scarred),0,21,0,0
FAMAS | Valence (Battle-Scarred),0,21,1,0
Five-SeveN | Triumvirate (Battle-Scarred),0,21,1,0
Glock-18 | Royal Legion (Battle-Scarred),0,21,1,0
MAG-7 | Praetorian (Battle-Scarred),0,21,1,0
MP7 | Impire (Battle-Scarred),0,21,1,0
AWP | Elite Build (Battle-Scarred),0,21,2,0
Desert Eagle | Kumicho Dragon (Battle-Scarred),0,21,2,0
Nova | Hyper Beast (Battle-Scarred),0,21,2,0
AK-47 | Fuel Injector (Battle-Scarred),0,21,3,0
M4A4 | The Battlestar (Battle-Scarred),0,21,3,0
Dual Berettas | Dualing Dragons (Battle-Scarred),0,22,0,0
FAMAS | Survivor Z (Battle-Scarred),0,22,0,0
Glock-18 | Wraiths (Battle-Scarred),0,22,0,0
MAC-10 | Rangeen (Battle-Scarred),0,22,0,0
MAG-7 | Cobalt Core (Battle-Scarred),0,22,0,0
SCAR-20 | Green Marine (Battle-Scarred),0,22,0,0
XM1014 | Scumbria (Battle-Scarred),0,22,0,0
Galil AR | Stone Cold (Battle-Scarred),0,22,1,0
M249 | Nebula Crusader (Battle-Scarred),0,22,1,0
MP7 | Special Delivery (Battle-Scarred),0,22,1,0
P250 | Wingshot (Battle-Scarred),0,22,1,0
AK-47 | Frontside Misty (Battle-Scarred),0,22,2,0
G3SG1 | Flux (Battle-Scarred),0,22,2,0
SSG 08 | Big Iron (Battle-Scarred),0,22,2,0
M4A1-S | Golden Coil (Battle-Scarred),0,22,3,0
USP-S | Kill Confirmed (Battle-Scarred),0,22,3,0
CZ75-Auto | Vendetta (Battle-Scarred),0,23,0,0
P90 | Cocoa Rampage (Battle-Scarred),0,23,0,0
G3SG1 | Digital Mesh (Battle-Scarred),0,23,0,0
Galil AR | Vandal (Battle-Scarred),0,23,0,0
P250 | Contaminant (Battle-Scarred),0,23,0,0
M249 | Deep Relief (Battle-Scarred),0,23,0,0
MP5-SD | Condition Zero (Battle-Scarred),0,23,0,0
AWP | Exoskeleton (Battle-Scarred),0,23,1,0
Dual Berettas | Dezastre (Battle-Scarred),0,23,1,0
Nova | Clear Polymer (Battle-Scarred),0,23,1,0
SSG 08 | Parallax (Battle-Scarred),0,23,1,0
UMP-45 | Gold Bismuth (Battle-Scarred),0,23,1,0
Five-SeveN | Fairy Tale (Battle-Scarred),0,23,2,0
M4A4 | Cyber Security (Battle-Scarred),0,23,2,0
USP-S | Monster Mashup (Battle-Scarred),0,23,2,0
M4A1-S | Printstream (Battle-Scarred),0,23,3,0
Glock-18 | Neo-Noir (Battle-Scarred),0,23,3,0
Galil AR | Rocket Pop (Battle-Scarred),0,24,0,0
Glock-18 | Bunsen Burner (Battle-Scarred),0,24,0,0
Nova | Ranger (Battle-Scarred),0,24,0,0
P90 | Elite Build (Battle-Scarred),0,24,0,0
UMP-45 | Riot (Battle-Scarred),0,24,0,0
USP-S | Torque (Battle-Scarred),0,24,0,0
FAMAS | Neural Net (Battle-Scarred),0,24,1,0
M4A4 | Evil Daimyo (Battle-Scarred),0,24,1,0
MP9 | Ruby Poison Dart (Battle-Scarred),0,24,1,0
Negev | Loudmouth (Battle-Scarred),0,24,1,0
P2000 | Handgun (Battle-Scarred),0,24,1,0
CZ75-Auto | Yellow Jacket (Battle-Scarred),0,24,2,0
MP7 | Nemesis (Battle-Scarred),0,24,2,0
SG 553 | Cyrex (Battle-Scarred),0,24,2,0
AK-47 | Aquamarine Revenge (Battle-Scarred),0,24,3,0
AWP | Hyper Beast (Battle-Scarred),0,24,3,0
Glock-18 | Catacombs (Battle-Scarred),0,25,0,0
M249 | System Lock (Battle-Scarred),0,25,0,0
MP9 | Deadly Poison (Battle-Scarred),0,25,0,0
SCAR-20 | Grotto (Battle-Scarred),0,25,0,0
XM1014 | Quicksilver (Battle-Scarred),0,25,0,0
Dual Berettas | Urban Shock (Battle-Scarred),0,25,1,0
Desert Eagle | Naga (Battle-Scarred),0,25,1,0
MAC-10 | Malachite (Battle-Scarred),0,25,1,0
Sawed-Off | Serenity (Battle-Scarred),0,25,1,0
AK-47 | Cartel (Battle-Scarred),0,25,2,0
M4A4 | 龍王 (Dragon King) (Battle-Scarred),0,25,2,0
P250 | Muertos (Battle-Scarred),0,25,2,0
AWP | Man-o'-war (Battle-Scarred),0,25,3,0
Galil AR | Chatterbox (Battle-Scarred),0,25,3,0
AUG | Plague (Battle-Scarred),0,26,0,0
Dual Berettas | Tread (Battle-Scarred),0,26,0,0
G3SG1 | Keeping Tabs (Battle-Scarred),0,26,0,0
MP7 | Guerrilla (Battle-Scarred),0,26,0,0
PP-Bizon | Lumen (Battle-Scarred),0,26,0,0
USP-S | Black Lotus (Battle-Scarred),0,26,0,0
XM1014 | Watchdog (Battle-Scarred),0,26,0,0
MAG-7 | BI83 Spectrum (Battle-Scarred),0,26,1,0
FAMAS | ZX Spectron (Battle-Scarred),0,26,1,0
Five-SeveN | Boost Protocol (Battle-Scarred),0,26,1,0
MP9 | Mount Fuji (Battle-Scarred),0,26,1,0
M4A4 | Spider Lily (Battle-Scarred),0,26,1,0
MAC-10 | Toybox (Battle-Scarred),0,26,2,0
Glock-18 | Snack Attack (Battle-Scarred),0,26,2,0
SSG 08 | Turbo Peek (Battle-Scarred),0,26,2,0
AK-47 | Leet Museo (Battle-Scarred),0,26,3,0
Desert Eagle | Ocean Drive (Battle-Scarred),0,26,3,0
SG 553 | Wave Spray (Battle-Scarred),0,27,0,0
Dual Berettas | Black Limba (Battle-Scarred),0,27,0,0
Nova | Tempest (Battle-Scarred),0,27,0,0
Galil AR | Shattered (Battle-Scarred),0,27,0,0
UMP-45 | Bone Pile (Battle-Scarred),0,27,0,0
G3SG1 | Demeter (Battle-Scarred),0,27,0,0
USP-S | Overgrowth (Battle-Scarred),0,27,1,0
M4A4 | Zirka (Battle-Scarred),0,27,1,0
MAC-10 | Graven (Battle-Scarred),0,27,1,0
M4A1-S | Bright Water (Battle-Scarred),0,27,1,0
P90 | Emerald Dragon (Battle-Scarred),0,27,2,0
P2000 | Ocean Foam (Battle-Scarred),0,27,2,0
AWP | Graphite (Battle-Scarred),0,27,2,0
AK-47 | Fire Serpent (Battle-Scarred),0,27,3,0
Desert Eagle | Golden Koi (Battle-Scarred),0,27,3,0
USP-S | Blueprint (Battle-Scarred),0,28,0,0
FAMAS | Macabre (Battle-Scarred),0,28,0,0
M4A1-S | Briefing (Battle-Scarred),0,28,0,0
MAC-10 | Aloha (Battle-Scarred),0,28,0,0
MAG-7 | Hard Water (Battle-Scarred),0,28,0,0
Tec-9 | Cut Out (Battle-Scarred),0,28,0,0
UMP-45 | Metal Flowers (Battle-Scarred),0,28,0,0
AK-47 | Orbit Mk01 (Battle-Scarred),0,28,1,0
P2000 | Woodsman (Battle-Scarred),0,28,1,0
P250 | Red Rock (Battle-Scarred),0,28,1,0
